batsman,bowler,runs
AM Rahane,B Kumar,83
DJM Short,B Kumar,4
SV Samson,B Stanlake,17
SV Samson,B Kumar,91
AM Rahane,Shakib Al Hasan,45
SV Samson,Shakib Al Hasan,40
AM Rahane,B Stanlake,5
SV Samson,S Kaul,105
AM Rahane,S Kaul,34
BA Stokes,Rashid Khan,8
SV Samson,Rashid Khan,107
BA Stokes,B Stanlake,4
RA Tripathi,Shakib Al Hasan,6
RA Tripathi,B Stanlake,2
RA Tripathi,Rashid Khan,10
RA Tripathi,S Kaul,3
JC Buttler,Shakib Al Hasan,5
JC Buttler,S Kaul,1
K Gowtham,S Kaul,1
S Gopal,S Kaul,1
S Gopal,Rashid Khan,8
JC Buttler,Rashid Khan,30
S Gopal,B Kumar,9
JC Buttler,B Kumar,52
DS Kulkarni,Rashid Khan,1
DS Kulkarni,B Kumar,2
JD Unadkat,S Kaul,1
B Laughlin,S Kaul,1
DS Kulkarni,S Kaul,1
AM Rahane,TA Boult,27
DJM Short,TA Boult,12
DJM Short,S Nadeem,7
BA Stokes,S Nadeem,2
AM Rahane,S Nadeem,81
BA Stokes,TA Boult,39
BA Stokes,CH Morris,12
AM Rahane,CH Morris,31
SV Samson,TA Boult,32
SV Samson,CH Morris,6
AM Rahane,Mohammed Shami,53
SV Samson,Mohammed Shami,64
AM Rahane,R Tewatia,9
SV Samson,R Tewatia,12
SV Samson,S Nadeem,48
JC Buttler,R Tewatia,10
JC Buttler,S Nadeem,15
RA Tripathi,S Nadeem,1
RA Tripathi,Mohammed Shami,10
JC Buttler,Mohammed Shami,79
RA Tripathi,R Tewatia,5
RA Tripathi,CH Morris,7
JC Buttler,CH Morris,10
K Gowtham,Mohammed Shami,5
AM Rahane,Washington Sundar,13
DJM Short,Washington Sundar,2
AM Rahane,CR Woakes,9
DJM Short,CR Woakes,3
AM Rahane,UT Yadav,75
DJM Short,UT Yadav,1
DJM Short,YS Chahal,5
AM Rahane,YS Chahal,13
SV Samson,CR Woakes,23
SV Samson,YS Chahal,28
BA Stokes,YS Chahal,0
BA Stokes,K Khejroliya,15
SV Samson,K Khejroliya,40
BA Stokes,Washington Sundar,6
SV Samson,Washington Sundar,51
BA Stokes,UT Yadav,8
SV Samson,UT Yadav,74
JC Buttler,YS Chahal,17
SV Samson,P Negi,14
JC Buttler,P Negi,4
JC Buttler,UT Yadav,55
JC Buttler,CR Woakes,10
JC Buttler,K Khejroliya,1
RA Tripathi,CR Woakes,1
RA Tripathi,UT Yadav,36
AM Rahane,PP Chawla,82
DJM Short,PP Chawla,4
AM Rahane,Kuldeep Yadav,8
DJM Short,Kuldeep Yadav,2
AM Rahane,SP Narine,62
DJM Short,SP Narine,6
DJM Short,Shivam Mavi,19
AM Rahane,Shivam Mavi,7
AM Rahane,N Rana,1
DJM Short,N Rana,6
SV Samson,N Rana,1
SV Samson,Kuldeep Yadav,33
SV Samson,Shivam Mavi,34
RA Tripathi,TK Curran,2
DJM Short,TK Curran,7
RA Tripathi,SP Narine,26
RA Tripathi,Shivam Mavi,2
RA Tripathi,N Rana,2
BA Stokes,N Rana,1
BA Stokes,Kuldeep Yadav,18
RA Tripathi,Kuldeep Yadav,5
BA Stokes,SP Narine,7
JC Buttler,SP Narine,48
JC Buttler,Kuldeep Yadav,65
BA Stokes,PP Chawla,6
JC Buttler,PP Chawla,37
K Gowtham,PP Chawla,3
K Gowtham,SP Narine,9
K Gowtham,TK Curran,0
S Gopal,TK Curran,0
DS Kulkarni,TK Curran,2
JC Buttler,TK Curran,7
DS Kulkarni,Shivam Mavi,1
JC Buttler,Shivam Mavi,59
AM Rahane,DL Chahar,19
H Klaasen,DL Chahar,1
H Klaasen,SN Thakur,6
SV Samson,SN Thakur,40
SV Samson,DL Chahar,21
AM Rahane,SN Thakur,2
BA Stokes,SN Thakur,23
BA Stokes,DL Chahar,18
JC Buttler,DL Chahar,43
BA Stokes,SR Watson,8
JC Buttler,SR Watson,8
JC Buttler,Imran Tahir,15
BA Stokes,Imran Tahir,43
JC Buttler,DJ Bravo,21
RA Tripathi,DJ Bravo,4
BA Stokes,DJ Bravo,21
RA Tripathi,Imran Tahir,2
STR Binny,DJ Bravo,57
STR Binny,Imran Tahir,4
K Gowtham,SR Watson,1
STR Binny,SR Watson,4
S Gopal,SR Watson,0
STR Binny,SN Thakur,8
S Gopal,SN Thakur,14
JD Unadkat,SN Thakur,8
S Gopal,KV Sharma,3
JD Unadkat,KV Sharma,10
S Gopal,RA Jadeja,4
JD Unadkat,RA Jadeja,2
B Laughlin,KV Sharma,0
AM Rahane,MJ McClenaghan,22
RA Tripathi,MJ McClenaghan,7
RA Tripathi,JJ Bumrah,3
AM Rahane,JJ Bumrah,13
AM Rahane,KH Pandya,18
RA Tripathi,KH Pandya,0
SV Samson,KH Pandya,75
SV Samson,Mustafizur Rahman,17
AM Rahane,Mustafizur Rahman,1
BA Stokes,MJ McClenaghan,14
SV Samson,MJ McClenaghan,15
BA Stokes,M Markande,10
SV Samson,M Markande,54
BA Stokes,Mustafizur Rahman,10
SV Samson,HH Pandya,62
BA Stokes,HH Pandya,3
BA Stokes,KH Pandya,19
BA Stokes,JJ Bumrah,14
SV Samson,JJ Bumrah,56
JC Buttler,HH Pandya,65
JC Buttler,KH Pandya,53
JC Buttler,JJ Bumrah,68
JC Archer,JJ Bumrah,19
H Klaasen,Mustafizur Rahman,0
K Gowtham,Mustafizur Rahman,13
JC Archer,Mustafizur Rahman,1
K Gowtham,JJ Bumrah,10
JC Archer,HH Pandya,0
K Gowtham,HH Pandya,10
AM Rahane,Sandeep Sharma,39
RA Tripathi,Sandeep Sharma,0
SV Samson,Sandeep Sharma,40
SV Samson,Basil Thampi,17
AM Rahane,Rashid Khan,39
BA Stokes,S Kaul,1
AM Rahane,YK Pathan,12
BA Stokes,YK Pathan,0
JC Buttler,YK Pathan,5
MK Lomror,Sandeep Sharma,3
MK Lomror,Rashid Khan,13
MK Lomror,S Kaul,7
K Gowtham,Basil Thampi,7
AM Rahane,Basil Thampi,1
JC Archer,Basil Thampi,1
JC Buttler,TA Boult,18
JC Buttler,Avesh Khan,40
JC Buttler,LE Plunkett,12
DJM Short,LE Plunkett,8
JC Buttler,A Mishra,19
DJM Short,A Mishra,3
DJM Short,Avesh Khan,2
SV Samson,A Mishra,14
SV Samson,LE Plunkett,2
DJM Short,GJ Maxwell,18
RA Tripathi,GJ Maxwell,3
RA Tripathi,LE Plunkett,5
K Gowtham,LE Plunkett,10
RA Tripathi,TA Boult,1
K Gowtham,TA Boult,8
JC Buttler,R Ashwin,32
DJM Short,R Ashwin,2
AM Rahane,AS Rajpoot,4
JC Buttler,AS Rajpoot,27
AM Rahane,Mujeeb Ur Rahman,5
JC Buttler,Mujeeb Ur Rahman,54
AM Rahane,AR Patel,55
JC Buttler,AR Patel,55
SV Samson,AR Patel,57
SV Samson,Mujeeb Ur Rahman,11
SV Samson,R Ashwin,55
SV Samson,AJ Tye,3
JC Buttler,AJ Tye,20
SV Samson,MP Stoinis,8
JC Buttler,MP Stoinis,27
BA Stokes,AJ Tye,5
BA Stokes,R Ashwin,22
BA Stokes,Mujeeb Ur Rahman,14
RA Tripathi,R Ashwin,11
JC Archer,Mujeeb Ur Rahman,0
K Gowtham,Mujeeb Ur Rahman,1
RA Tripathi,Mujeeb Ur Rahman,10
K Gowtham,AS Rajpoot,4
S Gopal,AS Rajpoot,13
RA Tripathi,AS Rajpoot,6
S Gopal,AR Patel,7
RA Tripathi,AR Patel,2
RA Tripathi,AJ Tye,0
S Gopal,AJ Tye,8
JD Unadkat,AJ Tye,4
JD Unadkat,AS Rajpoot,2
AM Rahane,MP Stoinis,1
JC Buttler,MM Sharma,11
AM Rahane,MM Sharma,41
AM Rahane,AJ Tye,1
K Gowtham,AJ Tye,1
K Gowtham,MM Sharma,7
K Gowtham,MP Stoinis,0
STR Binny,Mujeeb Ur Rahman,1
STR Binny,AJ Tye,10
MK Lomror,MM Sharma,3
BA Stokes,MM Sharma,1
MK Lomror,AJ Tye,6
JC Archer,AJ Tye,0
