batsman,bowler,runs
AM Rahane,TG Southee,13
MA Agarwal,TG Southee,6
AM Rahane,HH Pandya,32
MA Agarwal,HH Pandya,0
MA Agarwal,MJ McClenaghan,0
SPD Smith,MJ McClenaghan,22
AM Rahane,MJ McClenaghan,35
AM Rahane,JJ Bumrah,18
SPD Smith,JJ Bumrah,29
SPD Smith,HH Pandya,7
SPD Smith,KH Pandya,24
AM Rahane,KH Pandya,30
SPD Smith,TG Southee,4
BA Stokes,TG Southee,9
BA Stokes,JJ Bumrah,13
SPD Smith,KA Pollard,25
BA Stokes,KA Pollard,2
BA Stokes,HH Pandya,4
MS Dhoni,HH Pandya,1
MS Dhoni,JJ Bumrah,26
MS Dhoni,MJ McClenaghan,17
MS Dhoni,KA Pollard,2
AM Rahane,Sandeep Sharma,10
MA Agarwal,Sandeep Sharma,0
SPD Smith,Sandeep Sharma,12
AM Rahane,MM Sharma,14
SPD Smith,MM Sharma,2
SPD Smith,AR Patel,9
AM Rahane,AR Patel,10
SPD Smith,T Natarajan,7
AM Rahane,T Natarajan,0
BA Stokes,AR Patel,15
SPD Smith,MP Stoinis,0
BA Stokes,MP Stoinis,17
MS Dhoni,MP Stoinis,3
BA Stokes,Swapnil Singh,10
MS Dhoni,Swapnil Singh,2
MK Tiwary,Swapnil Singh,2
BA Stokes,T Natarajan,5
MK Tiwary,T Natarajan,14
MK Tiwary,AR Patel,3
MK Tiwary,MP Stoinis,5
BA Stokes,MM Sharma,3
MK Tiwary,MM Sharma,14
DT Christian,AR Patel,1
DT Christian,MM Sharma,2
MK Tiwary,Sandeep Sharma,2
DT Christian,Sandeep Sharma,14
AM Rahane,S Nadeem,3
MA Agarwal,S Nadeem,6
AM Rahane,PJ Cummins,2
MA Agarwal,PJ Cummins,4
MA Agarwal,Z Khan,4
AM Rahane,Z Khan,5
F du Plessis,CH Morris,2
MA Agarwal,CH Morris,6
F du Plessis,Z Khan,5
RA Tripathi,CH Morris,10
F du Plessis,S Nadeem,1
BA Stokes,S Nadeem,5
MS Dhoni,S Nadeem,8
BA Stokes,PJ Cummins,8
MS Dhoni,PJ Cummins,3
R Bhatia,PJ Cummins,2
R Bhatia,S Nadeem,3
R Bhatia,CJ Anderson,9
MS Dhoni,CJ Anderson,4
R Bhatia,A Mishra,2
MS Dhoni,A Mishra,1
DL Chahar,PJ Cummins,13
A Zampa,A Mishra,5
DL Chahar,A Mishra,1
DL Chahar,Z Khan,0
AB Dinda,Z Khan,5
A Zampa,Z Khan,0
AB Dinda,A Mishra,2
Imran Tahir,A Mishra,0
AB Dinda,PJ Cummins,0
AM Rahane,P Kumar,0
SPD Smith,P Kumar,13
RA Tripathi,Basil Thampi,7
SPD Smith,Basil Thampi,6
RA Tripathi,P Kumar,24
SPD Smith,SB Jakati,11
RA Tripathi,SB Jakati,1
RA Tripathi,AJ Tye,3
SPD Smith,AJ Tye,1
BA Stokes,AJ Tye,0
SPD Smith,RA Jadeja,10
BA Stokes,RA Jadeja,25
BA Stokes,Basil Thampi,30
SPD Smith,DR Smith,2
BA Stokes,DR Smith,28
MK Tiwary,DR Smith,1
BA Stokes,SK Raina,7
MK Tiwary,SK Raina,2
