batsman,bowler,runs
CH Gayle,A Nehra,45
Mandeep Singh,A Nehra,15
CH Gayle,B Kumar,104
Mandeep Singh,B Kumar,9
CH Gayle,BCJ Cutting,23
Mandeep Singh,Rashid Khan,5
TM Head,Rashid Khan,15
CH Gayle,DJ Hooda,6
TM Head,DJ Hooda,1
KM Jadhav,DJ Hooda,0
KM Jadhav,Rashid Khan,5
TM Head,BCJ Cutting,2
KM Jadhav,BCJ Cutting,8
KM Jadhav,MC Henriques,8
TM Head,MC Henriques,10
TM Head,A Nehra,2
KM Jadhav,A Nehra,17
SR Watson,MC Henriques,9
SR Watson,Rashid Khan,10
Sachin Baby,Bipul Sharma,1
SR Watson,Bipul Sharma,2
STR Binny,Bipul Sharma,1
STR Binny,Rashid Khan,2
STR Binny,BCJ Cutting,7
SR Watson,BCJ Cutting,7
SR Watson,B Kumar,3
STR Binny,B Kumar,2
S Aravind,B Kumar,0
SR Watson,A Nehra,2
S Aravind,A Nehra,0
YS Chahal,A Nehra,0
TS Mills,B Kumar,6
YS Chahal,B Kumar,3
YS Chahal,BCJ Cutting,1
A Choudhary,BCJ Cutting,6
CH Gayle,Z Khan,12
SR Watson,Z Khan,16
SR Watson,CH Morris,4
CH Gayle,CH Morris,40
SR Watson,PJ Cummins,9
CH Gayle,PJ Cummins,8
Mandeep Singh,CH Morris,20
SR Watson,S Nadeem,4
Mandeep Singh,S Nadeem,0
Mandeep Singh,PJ Cummins,8
KM Jadhav,PJ Cummins,4
KM Jadhav,S Nadeem,5
KM Jadhav,A Mishra,31
SR Watson,A Mishra,11
STR Binny,S Nadeem,3
KM Jadhav,Z Khan,16
STR Binny,Z Khan,9
STR Binny,PJ Cummins,6
STR Binny,CR Brathwaite,7
KM Jadhav,CR Brathwaite,24
Vishnu Vinod,CR Brathwaite,2
Vishnu Vinod,Z Khan,8
Iqbal Abdulla,CH Morris,2
P Negi,CH Morris,7
P Negi,PJ Cummins,3
Iqbal Abdulla,PJ Cummins,3
TS Mills,CH Morris,0
SR Watson,AR Patel,4
Vishnu Vinod,AR Patel,1
Vishnu Vinod,Sandeep Sharma,1
AB de Villiers,Sandeep Sharma,107
Vishnu Vinod,MM Sharma,5
AB de Villiers,MM Sharma,69
KM Jadhav,Sandeep Sharma,1
AB de Villiers,VR Aaron,32
KM Jadhav,VR Aaron,5
Mandeep Singh,Sandeep Sharma,16
Mandeep Singh,VR Aaron,12
Mandeep Singh,MM Sharma,20
Mandeep Singh,T Natarajan,26
AB de Villiers,T Natarajan,25
AB de Villiers,MP Stoinis,48
Mandeep Singh,MP Stoinis,5
Mandeep Singh,AR Patel,19
AB de Villiers,AR Patel,71
STR Binny,VR Aaron,2
STR Binny,AR Patel,1
STR Binny,MP Stoinis,2
STR Binny,MM Sharma,12
STR Binny,Sandeep Sharma,1
CH Gayle,TG Southee,16
V Kohli,TG Southee,60
V Kohli,Harbhajan Singh,87
CH Gayle,Harbhajan Singh,67
V Kohli,MJ McClenaghan,39
CH Gayle,MJ McClenaghan,16
V Kohli,JJ Bumrah,145
CH Gayle,JJ Bumrah,24
V Kohli,HH Pandya,55
CH Gayle,HH Pandya,0
AB de Villiers,HH Pandya,88
AB de Villiers,KH Pandya,51
V Kohli,KH Pandya,109
AB de Villiers,JJ Bumrah,131
KM Jadhav,MJ McClenaghan,6
AB de Villiers,MJ McClenaghan,55
KM Jadhav,KH Pandya,5
P Negi,KH Pandya,3
KM Jadhav,JJ Bumrah,16
P Negi,JJ Bumrah,18
Mandeep Singh,MJ McClenaghan,11
STR Binny,MJ McClenaghan,1
P Negi,MJ McClenaghan,12
STR Binny,JJ Bumrah,6
V Kohli,JD Unadkat,55
Mandeep Singh,JD Unadkat,12
V Kohli,SN Thakur,67
Mandeep Singh,SN Thakur,15
AB de Villiers,SN Thakur,48
AB de Villiers,JD Unadkat,45
AB de Villiers,DT Christian,2
V Kohli,DT Christian,22
V Kohli,BA Stokes,14
AB de Villiers,BA Stokes,4
AB de Villiers,Imran Tahir,58
KM Jadhav,Imran Tahir,12
KM Jadhav,BA Stokes,1
KM Jadhav,DT Christian,10
SR Watson,Imran Tahir,3
SR Watson,DT Christian,2
KM Jadhav,SN Thakur,1
SR Watson,SN Thakur,3
SR Watson,JD Unadkat,2
KM Jadhav,JD Unadkat,1
STR Binny,JD Unadkat,1
STR Binny,BA Stokes,5
SR Watson,BA Stokes,4
P Negi,BA Stokes,0
P Negi,DT Christian,3
STR Binny,DT Christian,11
P Negi,SN Thakur,10
STR Binny,SN Thakur,1
AF Milne,SN Thakur,1
AF Milne,JD Unadkat,3
S Badree,JD Unadkat,1
S Aravind,JD Unadkat,5
S Aravind,BA Stokes,1
AF Milne,BA Stokes,0
YS Chahal,BA Stokes,1
CH Gayle,DS Kulkarni,35
V Kohli,DS Kulkarni,101
V Kohli,Basil Thampi,29
CH Gayle,Basil Thampi,11
V Kohli,AJ Tye,43
CH Gayle,AJ Tye,2
V Kohli,RA Jadeja,140
CH Gayle,RA Jadeja,42
V Kohli,S Kaushik,50
CH Gayle,S Kaushik,15
CH Gayle,DR Smith,14
V Kohli,DR Smith,10
TM Head,Basil Thampi,15
TM Head,RA Jadeja,6
TM Head,S Kaushik,7
TM Head,DS Kulkarni,1
KM Jadhav,DS Kulkarni,1
KM Jadhav,AJ Tye,24
TM Head,AJ Tye,1
KM Jadhav,RA Jadeja,23
CH Gayle,NM Coulter-Nile,20
V Kohli,NM Coulter-Nile,10
Mandeep Singh,NM Coulter-Nile,1
Mandeep Singh,UT Yadav,15
AB de Villiers,UT Yadav,42
AB de Villiers,NM Coulter-Nile,4
KM Jadhav,NM Coulter-Nile,8
CH Gayle,UT Yadav,34
KM Jadhav,UT Yadav,1
STR Binny,NM Coulter-Nile,4
STR Binny,UT Yadav,20
CH Gayle,CR Woakes,0
STR Binny,CR Woakes,0
S Badree,CR Woakes,0
P Negi,C de Grandhomme,2
TS Mills,C de Grandhomme,1
TS Mills,CR Woakes,1
S Aravind,CR Woakes,4
S Aravind,C de Grandhomme,1
YS Chahal,C de Grandhomme,0
CH Gayle,NB Singh,6
V Kohli,NB Singh,1
AB de Villiers,Basil Thampi,16
AB de Villiers,AJ Tye,23
KM Jadhav,Basil Thampi,12
AB de Villiers,RA Jadeja,92
KM Jadhav,Ankit Soni,9
AB de Villiers,Ankit Soni,3
Mandeep Singh,RA Jadeja,19
Mandeep Singh,Ankit Soni,1
P Negi,Ankit Soni,13
P Negi,RA Jadeja,11
Mandeep Singh,AJ Tye,12
P Negi,AJ Tye,2
P Negi,JP Faulkner,6
Mandeep Singh,JP Faulkner,31
S Badree,Ankit Soni,1
S Badree,RA Jadeja,2
S Aravind,RA Jadeja,1
S Aravind,AJ Tye,4
A Choudhary,AJ Tye,2
A Choudhary,JP Faulkner,5
S Aravind,JP Faulkner,2
S Aravind,Basil Thampi,2
A Choudhary,Basil Thampi,8
YS Chahal,JP Faulkner,1
TM Head,DL Chahar,2
V Kohli,DL Chahar,68
TM Head,JD Unadkat,0
AB de Villiers,DL Chahar,10
AB de Villiers,LH Ferguson,7
V Kohli,LH Ferguson,60
KM Jadhav,LH Ferguson,0
V Kohli,Imran Tahir,34
Sachin Baby,LH Ferguson,4
Sachin Baby,Washington Sundar,1
V Kohli,Washington Sundar,3
STR Binny,Washington Sundar,1
STR Binny,LH Ferguson,0
P Negi,LH Ferguson,0
P Negi,Washington Sundar,2
P Negi,Imran Tahir,1
AF Milne,Imran Tahir,3
S Badree,Imran Tahir,1
S Aravind,Imran Tahir,0
S Aravind,DT Christian,9
YS Chahal,LH Ferguson,1
S Aravind,LH Ferguson,1
YS Chahal,DT Christian,3
Mandeep Singh,SL Malinga,5
V Kohli,SL Malinga,34
Mandeep Singh,HH Pandya,8
V Kohli,KV Sharma,89
Mandeep Singh,KV Sharma,1
TM Head,KV Sharma,2
TM Head,JJ Bumrah,11
TM Head,KH Pandya,10
AB de Villiers,SL Malinga,116
TM Head,SL Malinga,1
AB de Villiers,KV Sharma,29
KM Jadhav,KV Sharma,6
SR Watson,KH Pandya,6
SR Watson,JJ Bumrah,7
P Negi,SL Malinga,15
KM Jadhav,SL Malinga,4
AF Milne,MJ McClenaghan,0
CH Gayle,Sandeep Sharma,55
V Kohli,Sandeep Sharma,87
V Kohli,T Natarajan,28
KM Jadhav,MM Sharma,1
SR Watson,MM Sharma,2
P Negi,AR Patel,1
P Negi,GJ Maxwell,7
Mandeep Singh,GJ Maxwell,0
S Aravind,GJ Maxwell,2
P Negi,VR Aaron,10
S Aravind,VR Aaron,2
S Badree,GJ Maxwell,5
S Badree,VR Aaron,1
P Negi,MM Sharma,3
S Badree,MM Sharma,2
S Badree,AR Patel,0
YS Chahal,AR Patel,2
A Choudhary,AR Patel,2
A Choudhary,MM Sharma,2
YS Chahal,MM Sharma,2
V Kohli,UT Yadav,168
V Kohli,CR Woakes,1
Mandeep Singh,CR Woakes,13
AB de Villiers,CR Woakes,6
Mandeep Singh,SP Narine,34
AB de Villiers,SP Narine,53
TM Head,SP Narine,13
TM Head,UT Yadav,21
Mandeep Singh,AS Rajpoot,7
TM Head,AS Rajpoot,16
Mandeep Singh,PP Chawla,17
TM Head,PP Chawla,8
Mandeep Singh,C de Grandhomme,10
