batsman,bowler,runs
V Kohli,DL Chahar,2
F du Plessis,DL Chahar,21
F du Plessis,TU Deshpande,10
V Kohli,M Theekshana,17
F du Plessis,M Theekshana,9
F du Plessis,Mustafizur Rahman,4
RM Patidar,Mustafizur Rahman,0
GJ Maxwell,DL Chahar,0
C Green,DL Chahar,0
V Kohli,RA Jadeja,17
C Green,RA Jadeja,11
C Green,M Theekshana,11
C Green,Mustafizur Rahman,1
V Kohli,Mustafizur Rahman,0
Anuj Rawat,Mustafizur Rahman,13
KD Karthik,Mustafizur Rahman,9
KD Karthik,TU Deshpande,25
Anuj Rawat,TU Deshpande,18
Anuj Rawat,RA Jadeja,5
KD Karthik,RA Jadeja,1
Anuj Rawat,DL Chahar,10
KD Karthik,DL Chahar,2
KD Karthik,M Theekshana,12
Anuj Rawat,M Theekshana,2
V Kohli,SM Curran,42
F du Plessis,Arshdeep Singh,4
V Kohli,Arshdeep Singh,35
V Kohli,K Rabada,9
F du Plessis,K Rabada,0
C Green,K Rabada,3
RM Patidar,K Rabada,4
RM Patidar,SM Curran,8
V Kohli,Harpreet Brar,6
RM Patidar,Harpreet Brar,2
RM Patidar,HV Patel,14
V Kohli,HV Patel,29
RM Patidar,RD Chahar,27
V Kohli,RD Chahar,10
GJ Maxwell,Harpreet Brar,1
GJ Maxwell,HV Patel,2
Anuj Rawat,Harpreet Brar,4
Anuj Rawat,K Rabada,6
Anuj Rawat,HV Patel,1
Anuj Rawat,SM Curran,0
MK Lomror,SM Curran,5
KD Karthik,SM Curran,6
MK Lomror,Arshdeep Singh,11
KD Karthik,Arshdeep Singh,17
MK Lomror,HV Patel,1
KD Karthik,HV Patel,11
V Kohli,MA Starc,40
F du Plessis,MA Starc,7
V Kohli,Harshit Rana,23
F du Plessis,Harshit Rana,8
C Green,MA Starc,4
C Green,Harshit Rana,4
V Kohli,AS Roy,3
C Green,AS Roy,3
V Kohli,SP Narine,21
C Green,SP Narine,21
C Green,AD Russell,7
V Kohli,AD Russell,5
V Kohli,CV Varun,9
GJ Maxwell,CV Varun,11
GJ Maxwell,AD Russell,0
GJ Maxwell,SP Narine,3
GJ Maxwell,Harshit Rana,14
RM Patidar,SP Narine,17
RM Patidar,MA Starc,1
RM Patidar,AD Russell,1
Anuj Rawat,AD Russell,3
Anuj Rawat,Harshit Rana,0
KD Karthik,Harshit Rana,10
KD Karthik,AD Russell,27
KD Karthik,MA Starc,7
V Kohli,M Siddharth,7
F du Plessis,M Siddharth,13
V Kohli,KH Pandya,8
F du Plessis,KH Pandya,2
V Kohli,Naveen-ul-Haq,7
F du Plessis,Naveen-ul-Haq,4
RM Patidar,M Siddharth,1
F du Plessis,MP Yadav,0
RM Patidar,MP Yadav,5
GJ Maxwell,MP Yadav,0
C Green,MP Yadav,5
C Green,Ravi Bishnoi,4
RM Patidar,Ravi Bishnoi,12
Anuj Rawat,MP Yadav,3
Anuj Rawat,Naveen-ul-Haq,1
RM Patidar,Naveen-ul-Haq,0
Anuj Rawat,Yash Thakur,2
RM Patidar,Yash Thakur,10
Anuj Rawat,Ravi Bishnoi,2
Anuj Rawat,MP Stoinis,3
RM Patidar,MP Stoinis,1
MK Lomror,MP Stoinis,0
MK Lomror,Yash Thakur,23
KD Karthik,MP Yadav,1
KD Karthik,Yash Thakur,2
KD Karthik,Naveen-ul-Haq,1
MK Lomror,Naveen-ul-Haq,10
Mayank Dagar,Naveen-ul-Haq,0
RJW Topley,Yash Thakur,1
Mohammed Siraj,Yash Thakur,0
RJW Topley,Ravi Bishnoi,1
Mohammed Siraj,Ravi Bishnoi,12
RJW Topley,Naveen-ul-Haq,1
Mohammed Siraj,Naveen-ul-Haq,0
V Kohli,TA Boult,14
F du Plessis,TA Boult,21
V Kohli,N Burger,19
F du Plessis,N Burger,5
V Kohli,R Ashwin,17
F du Plessis,R Ashwin,6
V Kohli,Avesh Khan,47
F du Plessis,Avesh Khan,14
V Kohli,YS Chahal,24
F du Plessis,YS Chahal,6
V Kohli,R Parag,8
F du Plessis,R Parag,2
GJ Maxwell,N Burger,1
Saurav Chauhan,N Burger,1
Saurav Chauhan,Avesh Khan,1
Saurav Chauhan,R Ashwin,7
Saurav Chauhan,YS Chahal,0
C Green,YS Chahal,16
C Green,N Burger,1
C Green,Avesh Khan,7
V Kohli,Mohammad Nabi,2
F du Plessis,Mohammad Nabi,5
V Kohli,G Coetzee,1
F du Plessis,G Coetzee,12
V Kohli,JJ Bumrah,0
WG Jacks,JJ Bumrah,4
F du Plessis,Akash Madhwal,6
WG Jacks,Akash Madhwal,4
RM Patidar,Akash Madhwal,10
RM Patidar,G Coetzee,13
RM Patidar,S Gopal,9
F du Plessis,S Gopal,21
F du Plessis,R Shepherd,12
RM Patidar,R Shepherd,6
F du Plessis,HH Pandya,1
RM Patidar,HH Pandya,10
F du Plessis,JJ Bumrah,4
