batsman,bowler,runs
DA Warner,TS Mills,4
S Dhawan,TS Mills,2
S Dhawan,A Choudhary,3
DA Warner,A Choudhary,10
MC Henriques,A Choudhary,6
MC Henriques,TS Mills,4
MC Henriques,YS Chahal,36
S Dhawan,YS Chahal,38
S Dhawan,S Aravind,8
MC Henriques,S Aravind,21
S Dhawan,SR Watson,49
S Dhawan,TM Head,3
MC Henriques,TM Head,8
MC Henriques,STR Binny,2
S Dhawan,STR Binny,10
Yuvraj Singh,STR Binny,4
Yuvraj Singh,S Aravind,21
Yuvraj Singh,A Choudhary,22
Yuvraj Singh,SR Watson,11
MC Henriques,SR Watson,10
Yuvraj Singh,YS Chahal,16
DJ Hooda,YS Chahal,3
DJ Hooda,TS Mills,3
Yuvraj Singh,TS Mills,15
DJ Hooda,A Choudhary,10
BCJ Cutting,TS Mills,1
BCJ Cutting,SR Watson,48
DJ Hooda,SR Watson,2
DA Warner,SK Raina,42
S Dhawan,SK Raina,29
DA Warner,P Kumar,62
S Dhawan,P Kumar,29
MC Henriques,P Kumar,17
DA Warner,Tejas Baroka,26
MC Henriques,DS Kulkarni,22
DA Warner,DS Kulkarni,57
MC Henriques,S Kaushik,32
MC Henriques,Tejas Baroka,7
DA Warner,S Kaushik,22
DA Warner,Basil Thampi,17
MC Henriques,Basil Thampi,2
S Dhawan,Harbhajan Singh,96
DA Warner,Harbhajan Singh,98
DA Warner,SL Malinga,50
S Dhawan,SL Malinga,51
S Dhawan,JJ Bumrah,61
DA Warner,JJ Bumrah,48
DA Warner,MJ McClenaghan,52
S Dhawan,MJ McClenaghan,57
DA Warner,HH Pandya,20
S Dhawan,HH Pandya,20
DJ Hooda,Harbhajan Singh,1
DJ Hooda,MJ McClenaghan,5
S Dhawan,KH Pandya,12
DJ Hooda,KH Pandya,6
Yuvraj Singh,Harbhajan Singh,1
Yuvraj Singh,MJ McClenaghan,21
BCJ Cutting,MJ McClenaghan,4
Yuvraj Singh,HH Pandya,4
NV Ojha,HH Pandya,1
BCJ Cutting,HH Pandya,1
BCJ Cutting,SL Malinga,10
NV Ojha,SL Malinga,17
BCJ Cutting,JJ Bumrah,5
NV Ojha,JJ Bumrah,1
V Shankar,JJ Bumrah,15
V Shankar,SL Malinga,4
Rashid Khan,SL Malinga,1
Rashid Khan,JJ Bumrah,3
B Kumar,JJ Bumrah,7
DA Warner,UT Yadav,82
S Dhawan,UT Yadav,68
S Dhawan,TA Boult,36
DA Warner,TA Boult,23
S Dhawan,SP Narine,43
DA Warner,SP Narine,147
S Dhawan,Kuldeep Yadav,21
DA Warner,Kuldeep Yadav,69
DA Warner,YK Pathan,43
S Dhawan,YK Pathan,20
MC Henriques,YK Pathan,27
MC Henriques,SP Narine,10
MC Henriques,Kuldeep Yadav,19
Yuvraj Singh,Kuldeep Yadav,39
MC Henriques,CR Woakes,5
Yuvraj Singh,CR Woakes,14
DJ Hooda,CR Woakes,1
DJ Hooda,Kuldeep Yadav,21
Yuvraj Singh,UT Yadav,10
DJ Hooda,UT Yadav,4
Yuvraj Singh,SP Narine,13
DJ Hooda,SP Narine,18
BCJ Cutting,SP Narine,2
BCJ Cutting,CR Woakes,13
NV Ojha,CR Woakes,7
NV Ojha,SP Narine,30
BCJ Cutting,TA Boult,0
Bipul Sharma,TA Boult,14
NV Ojha,TA Boult,14
Bipul Sharma,CR Woakes,8
DA Warner,Sandeep Sharma,79
S Dhawan,Sandeep Sharma,57
DA Warner,I Sharma,32
S Dhawan,I Sharma,21
S Dhawan,MM Sharma,62
DA Warner,MM Sharma,90
MC Henriques,I Sharma,2
MC Henriques,KC Cariappa,6
DA Warner,KC Cariappa,51
MC Henriques,MM Sharma,5
MC Henriques,AR Patel,22
Yuvraj Singh,AR Patel,5
NV Ojha,AR Patel,36
DA Warner,AR Patel,95
NV Ojha,KC Cariappa,6
NV Ojha,Sandeep Sharma,28
NV Ojha,I Sharma,5
DJ Hooda,KC Cariappa,1
DJ Hooda,MM Sharma,7
DJ Hooda,AR Patel,24
Mohammad Nabi,Sandeep Sharma,2
Rashid Khan,Sandeep Sharma,6
DA Warner,J Yadav,71
S Dhawan,J Yadav,21
DA Warner,CH Morris,36
S Dhawan,CH Morris,38
KS Williamson,J Yadav,14
KS Williamson,CH Morris,18
KS Williamson,Z Khan,14
S Dhawan,Z Khan,24
KS Williamson,PJ Cummins,33
S Dhawan,PJ Cummins,16
S Dhawan,AD Mathews,25
KS Williamson,AD Mathews,25
S Dhawan,A Mishra,39
KS Williamson,A Mishra,96
Yuvraj Singh,CH Morris,15
Yuvraj Singh,AD Mathews,2
DJ Hooda,CH Morris,6
MC Henriques,CH Morris,8
MC Henriques,Z Khan,21
DJ Hooda,Z Khan,7
DA Warner,JD Unadkat,27
S Dhawan,JD Unadkat,40
DA Warner,Washington Sundar,35
S Dhawan,Washington Sundar,14
DA Warner,BA Stokes,22
S Dhawan,BA Stokes,23
S Dhawan,SN Thakur,16
DA Warner,SN Thakur,41
DA Warner,DT Christian,20
S Dhawan,DT Christian,7
S Dhawan,Imran Tahir,0
DA Warner,Imran Tahir,43
KS Williamson,Imran Tahir,4
KS Williamson,DT Christian,14
KS Williamson,BA Stokes,25
MC Henriques,DT Christian,4
MC Henriques,SN Thakur,27
MC Henriques,Imran Tahir,7
MC Henriques,JD Unadkat,18
DJ Hooda,JD Unadkat,8
DJ Hooda,SN Thakur,28
DA Warner,Anureet Singh,43
S Dhawan,Anureet Singh,26
S Dhawan,AR Patel,14
S Dhawan,KC Cariappa,18
S Dhawan,GJ Maxwell,31
DA Warner,GJ Maxwell,29
KS Williamson,AR Patel,63
KS Williamson,KC Cariappa,5
KS Williamson,MM Sharma,34
Yuvraj Singh,MM Sharma,27
Yuvraj Singh,GJ Maxwell,4
KS Williamson,GJ Maxwell,5
Yuvraj Singh,KC Cariappa,10
MC Henriques,GJ Maxwell,10
KS Williamson,I Sharma,25
DA Warner,NM Coulter-Nile,59
DA Warner,CR Woakes,14
S Dhawan,CR Woakes,12
S Dhawan,NM Coulter-Nile,15
KS Williamson,Kuldeep Yadav,39
KS Williamson,UT Yadav,83
KS Williamson,SP Narine,23
KS Williamson,CR Woakes,17
Yuvraj Singh,NM Coulter-Nile,5
KS Williamson,NM Coulter-Nile,29
S Dhawan,K Rabada,6
DA Warner,K Rabada,61
DA Warner,Mohammed Shami,99
KS Williamson,Mohammed Shami,48
S Dhawan,Mohammed Shami,31
Yuvraj Singh,A Mishra,16
Yuvraj Singh,J Yadav,10
Yuvraj Singh,Mohammed Shami,19
MC Henriques,A Mishra,32
MC Henriques,Mohammed Shami,4
MC Henriques,K Rabada,10
Yuvraj Singh,K Rabada,28
Yuvraj Singh,BA Stokes,13
Yuvraj Singh,Imran Tahir,11
Yuvraj Singh,SN Thakur,10
Yuvraj Singh,DT Christian,13
MC Henriques,BA Stokes,3
NV Ojha,DT Christian,2
NV Ojha,Imran Tahir,2
Yuvraj Singh,JD Unadkat,0
NV Ojha,JD Unadkat,7
Bipul Sharma,JD Unadkat,3
Rashid Khan,BA Stokes,3
Bipul Sharma,BA Stokes,5
Rashid Khan,JD Unadkat,7
B Kumar,JD Unadkat,1
S Kaul,JD Unadkat,0
MC Henriques,MJ McClenaghan,15
MC Henriques,SL Malinga,15
MC Henriques,Harbhajan Singh,20
MC Henriques,JJ Bumrah,11
S Dhawan,KV Sharma,25
MC Henriques,KV Sharma,0
MC Henriques,HH Pandya,10
Yuvraj Singh,JJ Bumrah,3
Yuvraj Singh,SL Malinga,1
V Shankar,MJ McClenaghan,3
S Dhawan,PJ Sangwan,36
DA Warner,PJ Sangwan,17
V Shankar,PJ Sangwan,22
V Shankar,P Kumar,2
DA Warner,JP Faulkner,23
V Shankar,JP Faulkner,7
V Shankar,MM Patel,12
DA Warner,MM Patel,10
V Shankar,RA Jadeja,13
DA Warner,RA Jadeja,69
DA Warner,Ankit Soni,17
V Shankar,Ankit Soni,14
KS Williamson,YK Pathan,6
DA Warner,PP Chawla,43
KS Williamson,PP Chawla,25
V Shankar,PP Chawla,13
Yuvraj Singh,PP Chawla,9
V Shankar,SP Narine,16
V Shankar,UT Yadav,3
NV Ojha,UT Yadav,24
V Shankar,TA Boult,18
V Shankar,NM Coulter-Nile,0
NV Ojha,NM Coulter-Nile,12
CJ Jordan,NM Coulter-Nile,0
Bipul Sharma,NM Coulter-Nile,1
WP Saha,DS Kulkarni,15
S Dhawan,DS Kulkarni,97
WP Saha,JD Unadkat,27
KS Williamson,JD Unadkat,50
S Dhawan,K Gowtham,10
KS Williamson,K Gowtham,7
S Dhawan,B Laughlin,12
KS Williamson,B Laughlin,7
S Dhawan,S Gopal,9
KS Williamson,S Gopal,10
S Dhawan,DJM Short,8
KS Williamson,DJM Short,1
WP Saha,PJ Sangwan,10
WP Saha,JJ Bumrah,13
S Dhawan,BCJ Cutting,4
WP Saha,BCJ Cutting,6
WP Saha,KH Pandya,19
WP Saha,M Markande,1
S Dhawan,M Markande,6
KS Williamson,M Markande,1
KS Williamson,Mustafizur Rahman,27
S Dhawan,Mustafizur Rahman,5
MK Pandey,M Markande,7
Shakib Al Hasan,KH Pandya,2
MK Pandey,KH Pandya,38
Shakib Al Hasan,M Markande,2
DJ Hooda,M Markande,6
Shakib Al Hasan,Mustafizur Rahman,8
DJ Hooda,Mustafizur Rahman,5
DJ Hooda,BCJ Cutting,14
YK Pathan,BCJ Cutting,10
DJ Hooda,JJ Bumrah,11
YK Pathan,JJ Bumrah,8
