bowler,batsman,times
HH Pandya,SR Watson,1
HH Pandya,SK Raina,2
M Markande,AT Rayudu,2
M Markande,MS Dhoni,1
Mustafizur Rahman,RA Jadeja,1
M Markande,DL Chahar,1
MJ McClenaghan,Harbhajan Singh,1
HH Pandya,MA Wood,1
JJ Bumrah,DJ Bravo,3
TK Curran,SR Watson,1
Kuldeep Yadav,AT Rayudu,1
SP Narine,SK Raina,2
PP Chawla,MS Dhoni,2
TK Curran,SW Billings,1
MM Sharma,SR Watson,1
AJ Tye,M Vijay,1
R Ashwin,SW Billings,1
BB Sran,AT Rayudu,1
AJ Tye,RA Jadeja,2
B Laughlin,AT Rayudu,1
S Gopal,SK Raina,1
S Gopal,MS Dhoni,1
S Gopal,SW Billings,1
B Laughlin,SR Watson,1
B Kumar,SR Watson,4
Rashid Khan,F du Plessis,2
S Kaul,AT Rayudu,2
P Negi,SR Watson,1
UT Yadav,SK Raina,3
YS Chahal,SW Billings,1
YS Chahal,RA Jadeja,2
CJ Anderson,AT Rayudu,1
KH Pandya,SR Watson,2
KH Pandya,AT Rayudu,2
MJ McClenaghan,MS Dhoni,1
MJ McClenaghan,DJ Bravo,2
HH Pandya,SW Billings,1
V Shankar,F du Plessis,2
GJ Maxwell,SK Raina,2
A Mishra,SR Watson,4
TA Boult,AT Rayudu,1
PP Chawla,F du Plessis,1
SP Narine,SR Watson,3
Kuldeep Yadav,SK Raina,1
SP Narine,AT Rayudu,4
PP Chawla,RA Jadeja,2
UT Yadav,SR Watson,1
M Ashwin,AT Rayudu,1
C de Grandhomme,DR Shorey,1
JC Archer,AT Rayudu,2
JC Archer,SR Watson,1
IS Sodhi,SK Raina,1
BA Stokes,SW Billings,1
Shakib Al Hasan,SR Watson,1
Sandeep Sharma,SK Raina,1
HV Patel,AT Rayudu,3
S Lamichhane,SK Raina,1
A Mishra,SW Billings,1
TA Boult,MS Dhoni,2
TA Boult,DJ Bravo,1
MM Sharma,AT Rayudu,2
AS Rajpoot,F du Plessis,1
AS Rajpoot,SW Billings,1
R Ashwin,Harbhajan Singh,1
R Ashwin,DL Chahar,1
S Kaul,SK Raina,1
Rashid Khan,MS Dhoni,1
Rashid Khan,DJ Bravo,1
Sandeep Sharma,RA Jadeja,1
Sandeep Sharma,DL Chahar,1
CR Brathwaite,Harbhajan Singh,1
Sandeep Sharma,F du Plessis,2
CR Brathwaite,SK Raina,1
YS Chahal,SR Watson,1
MM Ali,SK Raina,1
Mohammed Siraj,AT Rayudu,1
I Sharma,AT Rayudu,1
A Mishra,SK Raina,3
K Rabada,KM Jadhav,1
BA Stokes,SR Watson,1
DS Kulkarni,KM Jadhav,1
JD Unadkat,SK Raina,2
JC Archer,DJ Bravo,1
JP Behrendorff,AT Rayudu,1
SL Malinga,SR Watson,3
JP Behrendorff,SK Raina,1
HH Pandya,MS Dhoni,2
HH Pandya,RA Jadeja,1
SL Malinga,KM Jadhav,1
SL Malinga,DJ Bravo,3
HH Pandya,DL Chahar,1
R Ashwin,SR Watson,1
R Ashwin,F du Plessis,1
R Ashwin,SK Raina,1
PP Chawla,AT Rayudu,2
DS Kulkarni,SR Watson,1
JD Unadkat,F du Plessis,1
JC Archer,KM Jadhav,1
BA Stokes,AT Rayudu,1
BA Stokes,MS Dhoni,1
HF Gurney,SR Watson,1
SP Narine,F du Plessis,1
