bowler,batsman,times
I Sharma,Y Venugopal Rao,1
AB Dinda,VVS Laxman,2
M Kartik,AC Gilchrist,1
M Kartik,RG Sharma,2
Mohammad Hafeez,SB Styris,1
DJ Hussey,AS Yadav,1
AB Agarkar,A Symonds,1
AB Agarkar,WPUJC Vaas,1
M Kartik,SB Bangar,1
M Kartik,PP Ojha,1
Mohammad Asif,AC Gilchrist,1
Mohammad Asif,VVS Laxman,1
MF Maharoof,Y Venugopal Rao,1
MF Maharoof,A Symonds,1
R Bhatia,Shahid Afridi,1
R Bhatia,SB Bangar,1
R Bhatia,RG Sharma,1
VY Mahesh,AS Yadav,1
YK Pathan,AC Gilchrist,2
YK Pathan,Shahid Afridi,1
SK Warne,VVS Laxman,1
SK Warne,RG Sharma,1
SR Watson,AS Yadav,1
IK Pathan,AC Gilchrist,2
PP Chawla,HH Gibbs,2
PP Chawla,VVS Laxman,1
Gagandeep Singh,Shahid Afridi,1
PP Chawla,Y Venugopal Rao,1
PP Chawla,SB Bangar,1
S Sreesanth,DNT Zoysa,1
IK Pathan,D Kalyankrishna,1
A Kumble,HH Gibbs,1
R Vinay Kumar,AC Gilchrist,1
V Kohli,LPC Silva,1
R Vinay Kumar,RG Sharma,3
V Kohli,DB Ravi Teja,1
R Vinay Kumar,Y Venugopal Rao,1
R Vinay Kumar,SB Bangar,1
DW Steyn,WPUJC Vaas,1
DW Steyn,AS Yadav,1
DW Steyn,RP Singh,1
MS Gony,HH Gibbs,1
JA Morkel,AC Gilchrist,2
M Muralitharan,RG Sharma,1
MM Patel,HH Gibbs,1
YK Pathan,SB Styris,1
SK Trivedi,AC Gilchrist,1
SK Warne,Shahid Afridi,1
SK Trivedi,RG Sharma,3
SR Watson,SB Bangar,1
SK Warne,DB Ravi Teja,1
Sohail Tanvir,RP Singh,1
AB Dinda,HH Gibbs,1
AB Dinda,AC Gilchrist,2
Umar Gul,DB Ravi Teja,1
SC Ganguly,SB Styris,1
AB Dinda,RG Sharma,1
SC Ganguly,SB Bangar,1
LR Shukla,WPUJC Vaas,1
GD McGrath,AC Gilchrist,1
A Mishra,Shahid Afridi,1
A Mishra,HH Gibbs,1
MF Maharoof,RG Sharma,1
MF Maharoof,SB Styris,1
GD McGrath,Y Venugopal Rao,1
A Mishra,DB Ravi Teja,1
A Mishra,PP Ojha,1
A Mishra,RP Singh,1
DJ Bravo,Shahid Afridi,1
CRD Fernando,AC Gilchrist,1
CRD Fernando,RG Sharma,1
AM Nayar,LPC Silva,1
DJ Bravo,Y Venugopal Rao,1
DJ Bravo,DB Ravi Teja,1
CRD Fernando,H Das,1
Gagandeep Singh,HH Gibbs,1
RR Powar,AC Gilchrist,2
VRV Singh,RG Sharma,1
S Sreesanth,Y Venugopal Rao,1
Z Khan,AC Gilchrist,2
P Kumar,HH Gibbs,2
JH Kallis,RG Sharma,1
P Kumar,Shahid Afridi,1
P Kumar,VVS Laxman,1
Z Khan,SB Styris,1
M Ntini,HH Gibbs,1
MS Gony,AC Gilchrist,1
M Muralitharan,SB Styris,1
JA Morkel,DB Ravi Teja,1
JA Morkel,Y Venugopal Rao,1
JA Morkel,AS Yadav,1
L Balaji,Shahid Afridi,1
L Balaji,RP Singh,1
JD Ryder,VVS Laxman,1
KP Pietersen,AC Gilchrist,1
KP Pietersen,SB Styris,1
DW Steyn,RG Sharma,1
DW Steyn,Y Venugopal Rao,1
DJ Bravo,AC Gilchrist,1
ST Jayasuriya,DR Smith,2
DJ Bravo,RG Sharma,1
DJ Bravo,VVS Laxman,2
Z Khan,HH Gibbs,3
SL Malinga,Y Venugopal Rao,2
Harbhajan Singh,RP Singh,1
SL Malinga,FH Edwards,1
SL Malinga,DB Ravi Teja,3
SK Raina,AC Gilchrist,1
SK Raina,VVS Laxman,1
L Balaji,RG Sharma,1
M Muralitharan,DR Smith,1
DP Nannes,AC Gilchrist,1
DP Nannes,HH Gibbs,1
A Mishra,RG Sharma,1
DL Vettori,AA Bilakhia,1
PJ Sangwan,TL Suman,2
A Nehra,DR Smith,1
DP Nannes,Shoaib Ahmed,1
A Nehra,Y Venugopal Rao,2
A Nehra,PP Ojha,1
YK Pathan,HH Gibbs,1
SM Harwood,AA Bilakhia,1
RA Jadeja,AC Gilchrist,1
SM Harwood,DR Smith,1
S Tyagi,HH Gibbs,1
JA Morkel,VVS Laxman,1
SB Jakati,RG Sharma,1
SB Jakati,DR Smith,1
SB Jakati,Y Venugopal Rao,1
SB Jakati,RJ Harris,1
M Muralitharan,RP Singh,1
M Muralitharan,TL Suman,1
SK Raina,PP Ojha,2
DS Kulkarni,HH Gibbs,1
DJ Bravo,TL Suman,1
RR Raje,AC Gilchrist,1
SL Malinga,RG Sharma,1
S Sreesanth,AC Gilchrist,1
WA Mota,TL Suman,1
B Lee,RG Sharma,1
IK Pathan,Y Venugopal Rao,1
SK Trivedi,TL Suman,1
RA Jadeja,RG Sharma,1
RA Jadeja,A Symonds,1
YK Pathan,WPUJC Vaas,1
SK Warne,Y Venugopal Rao,1
YK Pathan,DR Smith,1
