bowler,batsman,times
MJ McClenaghan,PP Shaw,1
MJ McClenaghan,SS Iyer,1
BCJ Cutting,CA Ingram,1
HH Pandya,S Dhawan,1
MJ McClenaghan,KMA Paul,1
JJ Bumrah,AR Patel,2
DL Chahar,PP Shaw,5
Imran Tahir,SS Iyer,2
DJ Bravo,RR Pant,1
DJ Bravo,CA Ingram,1
RA Jadeja,KMA Paul,1
DJ Bravo,S Dhawan,1
PP Chawla,S Dhawan,2
AD Russell,SS Iyer,2
Kuldeep Yadav,RR Pant,1
LH Ferguson,PP Shaw,2
Kuldeep Yadav,GH Vihari,1
Kuldeep Yadav,CA Ingram,1
M Prasidh Krishna,SS Iyer,1
R Ashwin,PP Shaw,2
GC Viljoen,SS Iyer,1
R Ashwin,S Dhawan,1
Mohammed Shami,RR Pant,1
Mohammed Shami,CH Morris,1
SM Curran,CA Ingram,1
SM Curran,HV Patel,1
Mohammed Shami,GH Vihari,1
SM Curran,K Rabada,1
SM Curran,S Lamichhane,1
B Kumar,PP Shaw,2
Mohammad Nabi,S Dhawan,1
Mohammad Nabi,RR Pant,1
Sandeep Sharma,R Tewatia,1
S Kaul,CA Ingram,1
Rashid Khan,SS Iyer,2
B Kumar,CH Morris,1
S Kaul,K Rabada,1
TG Southee,S Dhawan,1
P Negi,PP Shaw,1
MM Ali,CA Ingram,1
NA Saini,SS Iyer,1
NA Saini,CH Morris,1
Mohammed Siraj,RR Pant,3
M Prasidh Krishna,PP Shaw,1
N Rana,RR Pant,1
KK Ahmed,PP Shaw,3
KK Ahmed,S Dhawan,1
Abhishek Sharma,C Munro,1
B Kumar,SS Iyer,1
KK Ahmed,RR Pant,1
Rashid Khan,CH Morris,1
B Kumar,KMA Paul,1
RD Chahar,S Dhawan,2
RD Chahar,PP Shaw,2
KH Pandya,C Munro,1
RD Chahar,SS Iyer,2
JJ Bumrah,RR Pant,4
SL Malinga,CH Morris,1
JJ Bumrah,KMA Paul,1
HH Pandya,K Rabada,1
GC Viljoen,PP Shaw,1
GC Viljoen,S Dhawan,1
GC Viljoen,RR Pant,1
Mohammed Shami,CA Ingram,1
Mohammed Shami,AR Patel,2
S Gopal,S Dhawan,2
R Parag,SS Iyer,1
S Gopal,PP Shaw,1
DS Kulkarni,SE Rutherford,1
UT Yadav,PP Shaw,2
YS Chahal,S Dhawan,1
YS Chahal,RR Pant,3
Washington Sundar,SS Iyer,1
NA Saini,CA Ingram,1
Harbhajan Singh,S Dhawan,2
Imran Tahir,RR Pant,1
RA Jadeja,CA Ingram,1
Imran Tahir,AR Patel,1
Imran Tahir,SE Rutherford,1
RA Jadeja,CH Morris,1
RA Jadeja,SS Iyer,1
DJ Bravo,J Suchith,1
Imran Tahir,A Mishra,1
IS Sodhi,S Dhawan,1
IS Sodhi,PP Shaw,1
S Gopal,SS Iyer,1
IS Sodhi,CA Ingram,1
S Gopal,SE Rutherford,1
DJ Hooda,S Dhawan,1
KK Ahmed,SS Iyer,1
Rashid Khan,C Munro,1
Rashid Khan,AR Patel,2
B Kumar,SE Rutherford,1
B Kumar,RR Pant,1
KK Ahmed,A Mishra,1
RA Jadeja,C Munro,1
DJ Bravo,AR Patel,2
Harbhajan Singh,SE Rutherford,1
DJ Bravo,KMA Paul,1
DL Chahar,RR Pant,1
RA Jadeja,TA Boult,1
Mohammed Shami,S Dhawan,1
Mohammed Shami,PP Shaw,2
Mohammed Shami,SO Hetmyer,2
Ravi Bishnoi,RR Pant,2
Mohammed Shami,SS Iyer,1
SS Cottrell,AR Patel,1
SS Cottrell,R Ashwin,1
CJ Jordan,MP Stoinis,1
PJ Cummins,AM Rahane,1
PJ Cummins,S Dhawan,2
CV Varun,RR Pant,3
CV Varun,SO Hetmyer,1
CV Varun,SS Iyer,1
CV Varun,MP Stoinis,1
CV Varun,AR Patel,2
PJ Cummins,K Rabada,1
LH Ferguson,TU Deshpande,1
JC Archer,S Dhawan,1
JC Archer,PP Shaw,2
AJ Tye,SS Iyer,1
R Tewatia,RR Pant,1
R Tewatia,MP Stoinis,1
Kartik Tyagi,SO Hetmyer,1
AJ Tye,AR Patel,1
JC Archer,HV Patel,1
Mohammed Siraj,PP Shaw,4
Shahbaz Ahmed,S Dhawan,1
Shahbaz Ahmed,SS Iyer,1
Washington Sundar,AM Rahane,1
DL Chahar,AM Rahane,1
DJ Bravo,SS Iyer,1
SN Thakur,MP Stoinis,2
SM Curran,AT Carey,1
CV Varun,S Dhawan,2
KL Nagarkoti,PP Shaw,1
AD Russell,RR Pant,2
AD Russell,MP Stoinis,1
I Udana,S Dhawan,1
MM Ali,SS Iyer,1
Sandeep Sharma,S Dhawan,2
S Nadeem,MP Stoinis,1
Rashid Khan,SO Hetmyer,1
Rashid Khan,AM Rahane,1
V Shankar,SS Iyer,1
T Natarajan,K Rabada,1
Sandeep Sharma,RR Pant,1
JO Holder,R Ashwin,1
T Natarajan,A Nortje,2
TA Boult,PP Shaw,4
KH Pandya,AM Rahane,1
KH Pandya,SS Iyer,1
RD Chahar,MP Stoinis,1
Rashid Khan,S Dhawan,3
B Kumar,SO Hetmyer,1
Rashid Khan,RR Pant,1
T Natarajan,MP Stoinis,1
KK Ahmed,AR Patel,1
TA Boult,S Dhawan,1
JJ Bumrah,MP Stoinis,2
JJ Bumrah,HV Patel,1
NM Coulter-Nile,SO Hetmyer,1
TA Boult,R Ashwin,1
JJ Bumrah,K Rabada,1
PP Chawla,PP Shaw,1
SM Curran,SS Iyer,1
JC Archer,AM Rahane,1
Kartik Tyagi,SS Iyer,1
JC Archer,MP Stoinis,1
JD Unadkat,AT Carey,1
JD Unadkat,AR Patel,1
JDS Neesham,PP Shaw,1
M Ashwin,SS Iyer,1
GJ Maxwell,RR Pant,1
Mohammed Shami,MP Stoinis,1
TA Boult,AM Rahane,2
JJ Bumrah,S Dhawan,1
JJ Bumrah,SS Iyer,1
KH Pandya,RR Pant,1
JJ Bumrah,DR Sams,1
KA Pollard,AR Patel,1
Rashid Khan,MP Stoinis,1
JO Holder,SS Iyer,1
TA Boult,MP Stoinis,1
J Yadav,S Dhawan,2
NM Coulter-Nile,RR Pant,1
TA Boult,SO Hetmyer,1
NM Coulter-Nile,AR Patel,1
NM Coulter-Nile,K Rabada,1
DJ Bravo,PP Shaw,1
SN Thakur,S Dhawan,2
JD Unadkat,PP Shaw,1
JD Unadkat,S Dhawan,1
JD Unadkat,AM Rahane,1
Mustafizur Rahman,MP Stoinis,1
R Parag,RR Pant,1
CH Morris,Lalit Yadav,1
Mustafizur Rahman,TK Curran,1
Mustafizur Rahman,R Ashwin,1
Arshdeep Singh,PP Shaw,1
RP Meredith,SPD Smith,2
JA Richardson,S Dhawan,1
JA Richardson,RR Pant,1
J Yadav,PP Shaw,1
KA Pollard,SPD Smith,1
J Suchith,PP Shaw,1
S Kaul,RR Pant,1
S Kaul,SO Hetmyer,1
KA Jamieson,S Dhawan,1
Mohammed Siraj,SPD Smith,1
HV Patel,PP Shaw,1
HV Patel,MP Stoinis,1
PJ Cummins,PP Shaw,1
PJ Cummins,RR Pant,1
Harpreet Brar,PP Shaw,1
CJ Jordan,RR Pant,1
LH Ferguson,S Dhawan,1
SP Narine,SS Iyer,1
LH Ferguson,SPD Smith,1
VR Iyer,SO Hetmyer,1
SP Narine,Lalit Yadav,3
VR Iyer,AR Patel,1
TG Southee,R Ashwin,1
TG Southee,RR Pant,1
TG Southee,Avesh Khan,1
Kartik Tyagi,S Dhawan,1
C Sakariya,PP Shaw,1
Mustafizur Rahman,RR Pant,1
R Tewatia,SS Iyer,1
Mustafizur Rahman,SO Hetmyer,1
C Sakariya,AR Patel,1
HV Patel,S Dhawan,1
YS Chahal,PP Shaw,1
DT Christian,RR Pant,1
Mohammed Siraj,SS Iyer,1
Mohammed Siraj,SO Hetmyer,1
JR Hazlewood,SS Iyer,2
RA Jadeja,RR Pant,1
RA Jadeja,RV Patel,1
SN Thakur,R Ashwin,1
KH Pandya,PP Shaw,1
NM Coulter-Nile,SPD Smith,1
J Yadav,RR Pant,1
TA Boult,AR Patel,1
JJ Bumrah,SO Hetmyer,1
JR Hazlewood,S Dhawan,1
MM Ali,AR Patel,1
RA Jadeja,PP Shaw,2
DJ Bravo,SO Hetmyer,1
CV Varun,PP Shaw,3
Shivam Mavi,MP Stoinis,1
LH Ferguson,RR Pant,2
SP Narine,SO Hetmyer,1
M Ashwin,TL Seifert,1
M Ashwin,Mandeep Singh,1
TS Mills,RR Pant,1
Basil Thampi,PP Shaw,1
Basil Thampi,R Powell,1
Basil Thampi,SN Thakur,1
HH Pandya,TL Seifert,1
LH Ferguson,Mandeep Singh,1
V Shankar,Lalit Yadav,1
LH Ferguson,AR Patel,1
Rashid Khan,SN Thakur,1
Mohammed Shami,R Powell,1
Mohammed Shami,KK Ahmed,1
K Gowtham,PP Shaw,1
Ravi Bishnoi,DA Warner,1
Ravi Bishnoi,R Powell,2
SP Narine,R Powell,1
UT Yadav,DA Warner,2
PWH de Silva,DA Warner,1
PWH de Silva,MR Marsh,1
JR Hazlewood,R Powell,1
JR Hazlewood,Lalit Yadav,1
JR Hazlewood,SN Thakur,1
M Prasidh Krishna,DA Warner,1
R Ashwin,SN Khan,1
M Prasidh Krishna,RR Pant,1
YS Chahal,AR Patel,2
TA Boult,SN Thakur,1
M Prasidh Krishna,Lalit Yadav,1
OC McCoy,R Powell,1
Harshit Rana,MR Marsh,1
UT Yadav,RR Pant,1
AD Russell,AR Patel,1
PVD Chameera,PP Shaw,1
Mohsin Khan,DA Warner,1
K Gowtham,MR Marsh,1
Ravi Bishnoi,Lalit Yadav,1
Mohsin Khan,RR Pant,1
Mohsin Khan,R Powell,1
Mohsin Khan,SN Thakur,1
B Kumar,Mandeep Singh,1
SA Abbott,MR Marsh,1
S Gopal,RR Pant,1
Simarjeet Singh,KS Bharat,1
M Theekshana,DA Warner,1
MM Ali,MR Marsh,1
MM Ali,RR Pant,1
MM Ali,RV Patel,1
Mukesh Choudhary,AR Patel,1
Mukesh Choudhary,R Powell,1
Simarjeet Singh,Kuldeep Yadav,1
DJ Bravo,SN Thakur,1
DJ Bravo,KK Ahmed,1
TA Boult,KS Bharat,1
YS Chahal,MR Marsh,1
LS Livingstone,DA Warner,1
Arshdeep Singh,SN Khan,1
Arshdeep Singh,Lalit Yadav,1
LS Livingstone,RR Pant,1
LS Livingstone,R Powell,1
K Rabada,MR Marsh,1
Arshdeep Singh,SN Thakur,1
DR Sams,DA Warner,1
JJ Bumrah,MR Marsh,1
JJ Bumrah,PP Shaw,2
M Markande,SN Khan,1
Ramandeep Singh,RR Pant,1
JJ Bumrah,R Powell,1
Ramandeep Singh,SN Thakur,1
MA Wood,PP Shaw,1
MA Wood,MR Marsh,1
MA Wood,SN Khan,1
Ravi Bishnoi,RR Rossouw,1
Avesh Khan,Aman Hakim Khan,1
Avesh Khan,DA Warner,2
MA Wood,AR Patel,1
MA Wood,C Sakariya,1
Mohammed Shami,MR Marsh,1
AS Joseph,DA Warner,1
AS Joseph,RR Rossouw,1
Rashid Khan,Abishek Porel,1
Rashid Khan,SN Khan,1
Rashid Khan,Aman Hakim Khan,2
TA Boult,MK Pandey,1
R Ashwin,RR Rossouw,1
TA Boult,Lalit Yadav,1
R Ashwin,R Powell,1
YS Chahal,Abishek Porel,2
YS Chahal,DA Warner,1
Sandeep Sharma,A Nortje,1
HR Shokeen,PP Shaw,1
