bowler,batsman,times
TS Mills,AP Tare,1
B Stanlake,KK Nair,1
Iqbal Abdulla,SW Billings,1
B Stanlake,SV Samson,1
Iqbal Abdulla,CH Morris,1
YS Chahal,CR Brathwaite,1
SR Watson,PJ Cummins,1
P Negi,RR Pant,1
P Negi,S Nadeem,2
DL Chahar,AP Tare,1
Imran Tahir,SW Billings,1
BA Stokes,RR Pant,1
A Zampa,SV Samson,2
KC Cariappa,SV Samson,1
VR Aaron,KK Nair,1
MM Sharma,SS Iyer,1
AR Patel,SW Billings,1
VR Aaron,RR Pant,1
Sandeep Sharma,CH Morris,1
NM Coulter-Nile,SW Billings,1
UT Yadav,SV Samson,2
SP Narine,SS Iyer,1
NM Coulter-Nile,KK Nair,1
SP Narine,AD Mathews,1
NM Coulter-Nile,RR Pant,2
CR Woakes,CH Morris,1
Mohammed Siraj,SW Billings,1
Yuvraj Singh,KK Nair,1
Yuvraj Singh,RR Pant,1
Mohammed Siraj,SV Samson,2
S Kaul,AD Mathews,1
MG Johnson,AP Tare,1
MJ McClenaghan,SV Samson,3
MJ McClenaghan,SS Iyer,1
MJ McClenaghan,CJ Anderson,1
JJ Bumrah,RR Pant,3
HH Pandya,KK Nair,1
JJ Bumrah,K Rabada,1
SP Narine,KK Nair,1
NM Coulter-Nile,SS Iyer,1
SP Narine,CJ Anderson,1
NM Coulter-Nile,CH Morris,1
Sandeep Sharma,SW Billings,1
Sandeep Sharma,SV Samson,1
Sandeep Sharma,SS Iyer,4
AR Patel,KK Nair,1
GJ Maxwell,RR Pant,1
AR Patel,CH Morris,1
VR Aaron,CJ Anderson,1
Sandeep Sharma,K Rabada,1
VR Aaron,Mohammed Shami,1
MM Sharma,S Nadeem,1
S Kaul,KK Nair,1
Mohammed Siraj,RR Pant,1
B Kumar,SS Iyer,2
PJ Sangwan,KK Nair,1
RA Jadeja,SV Samson,1
Basil Thampi,RR Pant,1
SL Malinga,SS Iyer,2
Harbhajan Singh,KK Nair,3
SL Malinga,CJ Anderson,1
KV Sharma,MN Samuels,1
Harbhajan Singh,PJ Cummins,1
KV Sharma,K Rabada,1
Harbhajan Singh,Mohammed Shami,1
KV Sharma,Z Khan,1
PJ Sangwan,SV Samson,1
PJ Sangwan,RR Pant,1
JP Faulkner,KK Nair,1
JP Faulkner,MN Samuels,1
Basil Thampi,CJ Anderson,1
DS Kulkarni,CR Brathwaite,1
JP Faulkner,PJ Cummins,1
Basil Thampi,SS Iyer,1
JD Unadkat,SV Samson,1
JD Unadkat,SS Iyer,2
A Zampa,RR Pant,2
DT Christian,MN Samuels,1
Washington Sundar,CJ Anderson,1
BA Stokes,PJ Cummins,1
BA Stokes,KK Nair,1
JD Unadkat,Mohammed Shami,1
Avesh Khan,SV Samson,1
