bowler,batsman,times
PVD Chameera,Shubman Gill,1
PVD Chameera,V Shankar,1
KH Pandya,HH Pandya,1
DJ Hooda,MS Wade,1
Avesh Khan,DA Miller,1
Mustafizur Rahman,MS Wade,1
Kuldeep Yadav,V Shankar,1
KK Ahmed,HH Pandya,2
KK Ahmed,Shubman Gill,1
Mustafizur Rahman,R Tewatia,2
Mustafizur Rahman,A Manohar,1
K Rabada,MS Wade,1
RD Chahar,B Sai Sudharsan,1
K Rabada,Shubman Gill,1
OF Smith,HH Pandya,1
B Kumar,Shubman Gill,2
T Natarajan,B Sai Sudharsan,1
Umran Malik,MS Wade,1
M Jansen,DA Miller,1
B Kumar,A Manohar,1
T Natarajan,R Tewatia,1
T Natarajan,Rashid Khan,1
M Prasidh Krishna,MS Wade,1
KR Sen,V Shankar,1
R Parag,Shubman Gill,1
YS Chahal,A Manohar,1
Mukesh Choudhary,Shubman Gill,1
M Theekshana,V Shankar,1
M Theekshana,A Manohar,1
RA Jadeja,WP Saha,1
DJ Bravo,R Tewatia,1
DJ Bravo,Rashid Khan,1
DJ Bravo,AS Joseph,1
TG Southee,Shubman Gill,1
UT Yadav,WP Saha,1
Shivam Mavi,DA Miller,1
TG Southee,HH Pandya,1
TG Southee,Rashid Khan,1
AD Russell,A Manohar,1
AD Russell,LH Ferguson,1
AD Russell,R Tewatia,1
AD Russell,Yash Dayal,1
Umran Malik,Shubman Gill,1
Umran Malik,HH Pandya,1
Umran Malik,WP Saha,1
Umran Malik,DA Miller,1
Umran Malik,A Manohar,1
PWH de Silva,WP Saha,1
Shahbaz Ahmed,Shubman Gill,1
Shahbaz Ahmed,HH Pandya,1
PWH de Silva,B Sai Sudharsan,1
Sandeep Sharma,Shubman Gill,2
K Rabada,WP Saha,3
R Dhawan,HH Pandya,1
LS Livingstone,DA Miller,2
K Rabada,R Tewatia,1
K Rabada,Rashid Khan,1
Arshdeep Singh,PJ Sangwan,1
K Rabada,LH Ferguson,1
M Ashwin,Shubman Gill,1
M Ashwin,WP Saha,1
KA Pollard,B Sai Sudharsan,1
RP Meredith,HH Pandya,1
DR Sams,R Tewatia,1
Mohsin Khan,WP Saha,1
Avesh Khan,MS Wade,1
Avesh Khan,HH Pandya,1
JO Holder,DA Miller,1
M Pathirana,Shubman Gill,1
MM Ali,MS Wade,1
M Pathirana,HH Pandya,1
JR Hazlewood,Shubman Gill,1
GJ Maxwell,MS Wade,1
HV Patel,WP Saha,1
PWH de Silva,DA Miller,1
JR Hazlewood,R Tewatia,1
TA Boult,WP Saha,2
R Ashwin,Shubman Gill,1
OC McCoy,MS Wade,1
M Prasidh Krishna,WP Saha,1
TA Boult,MS Wade,1
YS Chahal,HH Pandya,2
RS Hangargekar,WP Saha,1
RS Hangargekar,B Sai Sudharsan,1
RA Jadeja,HH Pandya,1
TU Deshpande,Shubman Gill,2
RS Hangargekar,V Shankar,1
A Nortje,WP Saha,1
A Nortje,Shubman Gill,3
MR Marsh,V Shankar,1
SP Narine,WP Saha,1
SP Narine,Shubman Gill,2
Suyash Sharma,A Manohar,1
SP Narine,B Sai Sudharsan,1
Arshdeep Singh,B Sai Sudharsan,1
Harpreet Brar,HH Pandya,1
SM Curran,Shubman Gill,1
A Zampa,B Sai Sudharsan,1
A Zampa,A Manohar,1
Sandeep Sharma,DA Miller,1
Sandeep Sharma,Rashid Khan,1
