bowler,batsman,times
AB Dinda,M Vohra,1
Imran Tahir,WP Saha,1
RD Chahar,HM Amla,1
Imran Tahir,AR Patel,2
TS Mills,M Vohra,1
YS Chahal,AR Patel,1
PP Chawla,M Vohra,2
SP Narine,MP Stoinis,1
C de Grandhomme,HM Amla,1
UT Yadav,GJ Maxwell,3
UT Yadav,DA Miller,3
UT Yadav,WP Saha,1
UT Yadav,AR Patel,2
CR Woakes,MM Sharma,1
CR Woakes,VR Aaron,1
S Nadeem,M Vohra,1
S Nadeem,WP Saha,1
CH Morris,HM Amla,1
PJ Cummins,EJG Morgan,1
A Mishra,GJ Maxwell,4
CJ Anderson,DA Miller,1
PJ Cummins,MM Sharma,1
CH Morris,KC Cariappa,1
CH Morris,AR Patel,1
B Kumar,HM Amla,2
B Kumar,GJ Maxwell,1
Mohammad Nabi,EJG Morgan,1
Rashid Khan,DA Miller,2
Rashid Khan,WP Saha,1
MC Henriques,AR Patel,1
B Kumar,MM Sharma,1
B Kumar,KC Cariappa,1
B Kumar,M Vohra,2
S Kaul,I Sharma,1
MJ McClenaghan,SE Marsh,2
KH Pandya,WP Saha,1
JJ Bumrah,GJ Maxwell,3
MJ McClenaghan,MP Stoinis,1
NB Singh,M Vohra,1
AJ Tye,SE Marsh,1
SS Agarwal,HM Amla,1
RA Jadeja,GJ Maxwell,2
AJ Tye,MP Stoinis,1
DR Smith,AR Patel,1
Basil Thampi,WP Saha,1
B Kumar,MJ Guptill,1
A Nehra,M Vohra,1
S Kaul,GJ Maxwell,1
Rashid Khan,EJG Morgan,1
S Kaul,WP Saha,1
B Kumar,SE Marsh,3
S Kaul,AR Patel,1
A Nehra,MM Sharma,1
A Nehra,Anureet Singh,1
A Choudhary,HM Amla,1
S Aravind,MJ Guptill,1
P Negi,SE Marsh,1
YS Chahal,M Vohra,1
YS Chahal,GJ Maxwell,2
SR Watson,WP Saha,1
A Choudhary,MM Sharma,1
PJ Sangwan,MJ Guptill,1
DS Kulkarni,SE Marsh,1
Basil Thampi,HM Amla,1
UT Yadav,M Vohra,1
SP Narine,MJ Guptill,1
CR Woakes,SE Marsh,1
Kuldeep Yadav,GJ Maxwell,1
Kuldeep Yadav,WP Saha,1
CR Woakes,Swapnil Singh,1
KV Sharma,MJ Guptill,1
JD Unadkat,MJ Guptill,1
SN Thakur,SE Marsh,1
BA Stokes,EJG Morgan,1
SN Thakur,R Tewatia,1
SN Thakur,GJ Maxwell,1
DT Christian,WP Saha,1
DT Christian,AR Patel,1
JD Unadkat,Swapnil Singh,1
A Zampa,I Sharma,1
A Zampa,MM Sharma,1
CH Morris,MA Agarwal,1
TA Boult,KL Rahul,1
R Tewatia,Yuvraj Singh,1
DT Christian,KK Nair,1
UT Yadav,MA Agarwal,1
UT Yadav,AJ Finch,1
UT Yadav,Yuvraj Singh,1
Washington Sundar,KL Rahul,1
K Khejroliya,KK Nair,1
Washington Sundar,MP Stoinis,1
K Khejroliya,AR Patel,1
CR Woakes,AJ Tye,1
YS Chahal,R Ashwin,1
CR Woakes,Mujeeb Ur Rahman,1
Harbhajan Singh,KL Rahul,2
SR Watson,CH Gayle,1
Imran Tahir,MA Agarwal,1
Imran Tahir,AJ Finch,1
SN Thakur,Yuvraj Singh,1
SN Thakur,R Ashwin,1
DJ Bravo,KK Nair,2
Rashid Khan,KL Rahul,3
S Kaul,MA Agarwal,1
B Kumar,KK Nair,1
SP Narine,KL Rahul,2
Avesh Khan,AJ Finch,1
LE Plunkett,KL Rahul,1
LE Plunkett,MA Agarwal,1
Avesh Khan,Yuvraj Singh,1
LE Plunkett,KK Nair,1
DT Christian,DA Miller,1
TA Boult,R Ashwin,1
TA Boult,AJ Tye,1
Basil Thampi,CH Gayle,1
Shakib Al Hasan,MA Agarwal,1
Rashid Khan,KK Nair,1
Shakib Al Hasan,AJ Finch,1
Sandeep Sharma,MK Tiwary,1
Sandeep Sharma,AJ Tye,1
S Kaul,BB Sran,1
Rashid Khan,R Ashwin,2
Basil Thampi,AS Rajpoot,1
M Markande,KL Rahul,1
BCJ Cutting,CH Gayle,1
KH Pandya,Yuvraj Singh,1
MJ McClenaghan,KK Nair,1
JJ Bumrah,AR Patel,1
HH Pandya,MA Agarwal,1
JC Archer,CH Gayle,3
BA Stokes,MA Agarwal,1
Anureet Singh,KK Nair,1
K Gowtham,AR Patel,1
K Gowtham,CH Gayle,1
K Gowtham,R Ashwin,1
JC Archer,KK Nair,1
IS Sodhi,AD Nath,1
BA Stokes,MK Tiwary,1
Anureet Singh,AR Patel,1
JD Unadkat,MP Stoinis,1
AD Russell,CH Gayle,2
AD Russell,MA Agarwal,1
AD Russell,KK Nair,1
Kuldeep Yadav,AR Patel,1
JPR Scantlebury-Searles,AJ Finch,1
M Prasidh Krishna,AJ Tye,1
M Prasidh Krishna,R Ashwin,1
UT Yadav,KL Rahul,1
UT Yadav,CH Gayle,2
Mohammed Siraj,KK Nair,1
YS Chahal,MP Stoinis,1
C de Grandhomme,MA Agarwal,1
MM Ali,AJ Finch,1
MM Ali,R Ashwin,1
UT Yadav,AJ Tye,1
MM Ali,MM Sharma,1
MM Ali,AS Rajpoot,1
MJ McClenaghan,CH Gayle,1
JJ Bumrah,AJ Finch,1
JJ Bumrah,MP Stoinis,1
JJ Bumrah,KL Rahul,3
MJ McClenaghan,Yuvraj Singh,1
L Ngidi,CH Gayle,1
DL Chahar,AJ Finch,1
L Ngidi,KL Rahul,2
RA Jadeja,MK Tiwary,1
DJ Bravo,DA Miller,2
SN Thakur,AR Patel,1
L Ngidi,R Ashwin,1
L Ngidi,AJ Tye,1
SN Thakur,AS Rajpoot,1
DS Kulkarni,KL Rahul,1
K Gowtham,MA Agarwal,1
BA Stokes,CH Gayle,1
BA Stokes,N Pooran,2
LH Ferguson,KL Rahul,1
AD Russell,SN Khan,1
PP Chawla,MA Agarwal,2
KH Pandya,CH Gayle,1
KH Pandya,MA Agarwal,1
CH Morris,KL Rahul,1
S Lamichhane,SM Curran,2
HV Patel,MA Agarwal,1
S Lamichhane,SN Khan,1
CH Morris,DA Miller,2
K Rabada,GC Viljoen,1
CH Morris,R Ashwin,1
K Rabada,M Ashwin,1
K Rabada,Mohammed Shami,1
Harbhajan Singh,CH Gayle,2
Harbhajan Singh,MA Agarwal,2
SC Kuggeleijn,KL Rahul,1
DL Chahar,DA Miller,1
SC Kuggeleijn,SN Khan,1
Rashid Khan,CH Gayle,1
Sandeep Sharma,MA Agarwal,1
Sandeep Sharma,DA Miller,1
S Kaul,Mandeep Singh,1
JP Behrendorff,CH Gayle,1
HH Pandya,DA Miller,1
HH Pandya,KK Nair,1
JJ Bumrah,SM Curran,1
YS Chahal,KL Rahul,1
YS Chahal,MA Agarwal,3
Mohammed Siraj,SN Khan,1
MM Ali,SM Curran,1
IS Sodhi,MA Agarwal,1
JD Unadkat,KL Rahul,1
JC Archer,N Pooran,1
JC Archer,Mandeep Singh,2
DS Kulkarni,DA Miller,3
S Lamichhane,KL Rahul,1
K Rabada,MA Agarwal,1
AR Patel,DA Miller,1
S Lamichhane,CH Gayle,1
AR Patel,Mandeep Singh,1
K Rabada,R Ashwin,1
MP Stoinis,MA Agarwal,2
MM Ali,KL Rahul,1
NA Saini,DA Miller,1
NA Saini,N Pooran,1
UT Yadav,R Ashwin,1
UT Yadav,GC Viljoen,1
KK Ahmed,CH Gayle,1
Rashid Khan,MA Agarwal,1
KK Ahmed,N Pooran,1
KK Ahmed,KL Rahul,1
Sandeep Sharma,P Simran Singh,1
Sandeep Sharma,Mujeeb Ur Rahman,1
S Sandeep Warrier,KL Rahul,1
S Sandeep Warrier,CH Gayle,1
N Rana,N Pooran,1
SP Narine,MA Agarwal,1
HF Gurney,Mandeep Singh,1
AD Russell,R Ashwin,1
RA Jadeja,N Pooran,1
MM Sharma,KL Rahul,1
R Ashwin,KK Nair,1
R Ashwin,N Pooran,1
K Rabada,GJ Maxwell,2
AR Patel,SN Khan,1
K Rabada,K Gowtham,1
MP Stoinis,CJ Jordan,1
K Rabada,KL Rahul,1
K Rabada,N Pooran,2
Sandeep Sharma,Mandeep Singh,1
JO Holder,CH Gayle,1
Sandeep Sharma,GJ Maxwell,1
Rashid Khan,DJ Hooda,1
JO Holder,CJ Jordan,1
KK Ahmed,M Ashwin,1
JJ Bumrah,MA Agarwal,2
KH Pandya,KK Nair,1
RD Chahar,KL Rahul,1
JL Pattinson,N Pooran,1
RD Chahar,GJ Maxwell,2
JJ Bumrah,JDS Neesham,1
JL Pattinson,SN Khan,1
TA Boult,Ravi Bishnoi,1
L Ngidi,MA Agarwal,1
SN Thakur,N Pooran,2
Imran Tahir,CH Gayle,1
RA Jadeja,Mandeep Singh,2
L Ngidi,JDS Neesham,1
S Dube,N Pooran,1
S Dube,GJ Maxwell,1
SN Thakur,KL Rahul,1
RD Chahar,CH Gayle,1
JJ Bumrah,N Pooran,2
TA Boult,CJ Jordan,1
CV Varun,KL Rahul,1
LH Ferguson,CH Gayle,1
M Prasidh Krishna,MA Agarwal,1
SP Narine,N Pooran,1
M Prasidh Krishna,P Simran Singh,1
