bowler,batsman,times
TM Dilshan,VVS Laxman,1
V Kohli,BB McCullum,1
DL Vettori,DPMD Jayawardene,2
Z Khan,BJ Hodge,1
DP Nannes,RV Gomez,1
AC Thomas,BB McCullum,1
WD Parnell,VVS Laxman,1
WD Parnell,DPMD Jayawardene,1
WD Parnell,PA Patel,1
R Sharma,BJ Hodge,1
JD Ryder,RA Jadeja,1
JD Ryder,R Vinay Kumar,1
WD Parnell,S Sreesanth,1
SL Malinga,DPMD Jayawardene,1
SL Malinga,BB McCullum,1
R Ashwin,DPMD Jayawardene,1
R Ashwin,BB McCullum,1
DE Bollinger,PA Patel,1
Shakib Al Hasan,BB McCullum,1
YK Pathan,DPMD Jayawardene,1
YK Pathan,BJ Hodge,1
YK Pathan,PA Patel,1
Shakib Al Hasan,KM Jadhav,1
B Lee,RA Jadeja,1
Shakib Al Hasan,R Vinay Kumar,1
SR Watson,VVS Laxman,1
J Botha,DPMD Jayawardene,1
SK Warne,BJ Hodge,1
SK Warne,RA Jadeja,1
SK Warne,PA Patel,1
SK Trivedi,RV Gomez,1
SK Trivedi,NLTC Perera,1
A Singh,R Vinay Kumar,1
SK Trivedi,KM Jadhav,1
SK Trivedi,RP Singh,1
DW Steyn,BB McCullum,1
I Sharma,PA Patel,1
I Sharma,RV Gomez,1
I Sharma,BJ Hodge,1
I Sharma,KM Jadhav,1
I Sharma,DPMD Jayawardene,1
MS Gony,NLTC Perera,1
A Mishra,RA Jadeja,1
DW Steyn,R Vinay Kumar,1
DW Steyn,RP Singh,1
M Morkel,M Klinger,1
IK Pathan,BB McCullum,1
IK Pathan,PA Patel,1
AB Agarkar,DPMD Jayawardene,1
M Morkel,BJ Hodge,1
M Morkel,B Akhil,1
AB Agarkar,RA Jadeja,1
RE van der Merwe,RR Powar,1
RE van der Merwe,S Sreesanth,1
RE van der Merwe,R Vinay Kumar,1
M Morkel,BB McCullum,1
RE van der Merwe,M Klinger,1
RE van der Merwe,DPMD Jayawardene,1
JD Unadkat,BB McCullum,1
JD Unadkat,PA Patel,1
YK Pathan,M Klinger,1
R Bhatia,RA Jadeja,1
JH Kallis,DPMD Jayawardene,1
DL Vettori,BB McCullum,1
CH Gayle,M Klinger,1
CH Gayle,PA Patel,1
S Aravind,BJ Hodge,1
S Aravind,RV Gomez,1
Z Khan,R Vinay Kumar,1
A Mithun,RA Jadeja,1
A Mithun,RP Singh,1
Bipul Sharma,BB McCullum,1
PP Chawla,RA Jadeja,1
Bipul Sharma,BJ Hodge,1
SJ Srivastava,OA Shah,1
SJ Srivastava,PA Patel,1
RJ Harris,RV Gomez,1
RJ Harris,DPMD Jayawardene,1
JDP Oram,DPMD Jayawardene,1
ND Doshi,BB McCullum,1
R Ashwin,PA Patel,1
DJ Bravo,Y Gnaneswara Rao,1
SB Jakati,BB McCullum,1
DE Bollinger,RA Jadeja,1
DE Bollinger,OA Shah,1
