bowler,batsman,times
KH Pandya,G Gambhir,1
KH Pandya,RV Uthappa,1
JJ Bumrah,CA Lynn,2
KH Pandya,YK Pathan,1
SL Malinga,SA Yadav,1
SL Malinga,CR Woakes,1
MJ McClenaghan,SP Narine,2
VR Aaron,SP Narine,1
AR Patel,RV Uthappa,2
B Kumar,SP Narine,2
Rashid Khan,G Gambhir,1
BCJ Cutting,RV Uthappa,1
B Kumar,MK Pandey,4
A Nehra,SA Yadav,1
B Kumar,C de Grandhomme,1
Z Khan,C de Grandhomme,1
PJ Cummins,RV Uthappa,1
Z Khan,G Gambhir,5
CH Morris,YK Pathan,1
PJ Cummins,SA Yadav,1
A Mishra,CR Woakes,1
SK Raina,SP Narine,1
JP Faulkner,G Gambhir,1
P Kumar,RV Uthappa,1
Basil Thampi,MK Pandey,1
Basil Thampi,SA Yadav,1
TS Mills,G Gambhir,1
STR Binny,SP Narine,1
S Badree,RV Uthappa,1
YS Chahal,YK Pathan,2
YS Chahal,MK Pandey,1
YS Chahal,C de Grandhomme,1
TS Mills,CR Woakes,1
P Negi,NM Coulter-Nile,1
P Negi,SA Yadav,1
S Aravind,Kuldeep Yadav,1
Washington Sundar,SP Narine,1
JD Unadkat,RV Uthappa,2
DT Christian,G Gambhir,1
K Rabada,SP Narine,2
CJ Anderson,RV Uthappa,2
K Rabada,MK Pandey,1
Mohammed Siraj,SP Narine,2
S Kaul,G Gambhir,1
Mohammed Siraj,RV Uthappa,1
Rashid Khan,YK Pathan,1
B Kumar,SP Jackson,1
S Kaul,C de Grandhomme,1
JD Unadkat,SP Narine,3
Washington Sundar,SP Jackson,1
Washington Sundar,G Gambhir,1
Imran Tahir,YK Pathan,2
DT Christian,MK Pandey,1
JD Unadkat,C de Grandhomme,1
DT Christian,CR Woakes,1
BA Stokes,NM Coulter-Nile,1
A Choudhary,SP Narine,1
P Negi,CA Lynn,2
P Negi,C de Grandhomme,1
YS Chahal,G Gambhir,2
MM Sharma,SP Narine,1
R Tewatia,G Gambhir,1
R Tewatia,RV Uthappa,1
MJ Henry,MK Pandey,1
MJ Henry,CA Lynn,1
MM Sharma,YK Pathan,2
TG Southee,SP Narine,1
MG Johnson,G Gambhir,3
KV Sharma,RV Uthappa,3
R Vinay Kumar,CA Lynn,1
R Vinay Kumar,YK Pathan,4
HH Pandya,C de Grandhomme,1
HH Pandya,MK Pandey,2
TG Southee,Kuldeep Yadav,1
B Kumar,CA Lynn,1
B Kumar,YK Pathan,4
CJ Jordan,RV Uthappa,1
KV Sharma,SP Narine,2
JJ Bumrah,RV Uthappa,2
KV Sharma,G Gambhir,2
KV Sharma,C de Grandhomme,1
KV Sharma,IR Jaggi,1
MG Johnson,PP Chawla,1
MG Johnson,NM Coulter-Nile,1
JJ Bumrah,SA Yadav,1
SL Malinga,AS Rajpoot,1
CR Woakes,CA Lynn,1
UT Yadav,SP Narine,1
UT Yadav,RV Uthappa,1
Washington Sundar,N Rana,2
CR Woakes,RK Singh,1
CR Woakes,AD Russell,1
Harbhajan Singh,SP Narine,2
RA Jadeja,CA Lynn,1
SR Watson,N Rana,1
SR Watson,RV Uthappa,2
SN Thakur,RK Singh,1
SR Watson,KD Karthik,1
B Kumar,RV Uthappa,1
B Stanlake,N Rana,1
Shakib Al Hasan,SP Narine,2
Shakib Al Hasan,CA Lynn,2
B Stanlake,AD Russell,1
B Kumar,Shubman Gill,1
B Kumar,KD Karthik,1
S Kaul,Shivam Mavi,1
TA Boult,SP Narine,4
S Nadeem,RV Uthappa,1
Mohammed Shami,CA Lynn,2
CH Morris,KD Karthik,2
TA Boult,AD Russell,2
CH Morris,N Rana,2
R Tewatia,Shubman Gill,2
R Tewatia,PP Chawla,1
R Tewatia,TK Curran,1
K Gowtham,CA Lynn,1
S Gopal,SP Narine,2
K Gowtham,RV Uthappa,2
Mujeeb Ur Rahman,SP Narine,1
