bowler,batsman,times
Mohammed Shami,KL Rahul,2
Mohammed Shami,Q de Kock,1
VR Aaron,E Lewis,1
Mohammed Shami,MK Pandey,1
Rashid Khan,DJ Hooda,2
VR Aaron,A Badoni,1
D Pretorius,KL Rahul,1
TU Deshpande,MK Pandey,1
D Pretorius,Q de Kock,1
DJ Bravo,DJ Hooda,1
Washington Sundar,Q de Kock,1
Washington Sundar,E Lewis,1
R Shepherd,MK Pandey,1
R Shepherd,DJ Hooda,1
T Natarajan,KL Rahul,1
T Natarajan,KH Pandya,2
R Shepherd,A Badoni,1
Kuldeep Yadav,KL Rahul,2
Lalit Yadav,E Lewis,1
Kuldeep Yadav,Q de Kock,1
SN Thakur,DJ Hooda,2
TA Boult,KL Rahul,1
TA Boult,K Gowtham,1
M Prasidh Krishna,JO Holder,1
KR Sen,DJ Hooda,1
YS Chahal,A Badoni,1
YS Chahal,Q de Kock,1
YS Chahal,KH Pandya,1
YS Chahal,PVD Chameera,1
FA Allen,Q de Kock,1
M Ashwin,MK Pandey,1
JD Unadkat,MP Stoinis,1
JD Unadkat,DJ Hooda,1
JR Hazlewood,Q de Kock,1
JR Hazlewood,MK Pandey,1
HV Patel,KL Rahul,1
Mohammed Siraj,DJ Hooda,1
GJ Maxwell,KH Pandya,2
JR Hazlewood,A Badoni,2
JR Hazlewood,MP Stoinis,1
HV Patel,JO Holder,1
JJ Bumrah,Q de Kock,1
KA Pollard,MK Pandey,1
DR Sams,MP Stoinis,1
KA Pollard,KH Pandya,1
RP Meredith,DJ Hooda,1
RP Meredith,A Badoni,1
K Rabada,KL Rahul,2
Sandeep Sharma,Q de Kock,1
Arshdeep Singh,DJ Hooda,1
K Rabada,KH Pandya,2
K Rabada,A Badoni,1
RD Chahar,MP Stoinis,2
RD Chahar,JO Holder,1
K Rabada,PVD Chameera,1
SN Thakur,Q de Kock,1
SN Thakur,KL Rahul,1
TG Southee,KL Rahul,1
SP Narine,Q de Kock,1
AD Russell,DJ Hooda,1
AD Russell,KH Pandya,1
Shivam Mavi,MP Stoinis,1
TG Southee,JO Holder,1
TG Southee,PVD Chameera,1
Yash Dayal,Q de Kock,1
Yash Dayal,KS Sharma,1
Rashid Khan,KH Pandya,1
R Sai Kishore,A Badoni,1
Rashid Khan,MP Stoinis,1
Rashid Khan,JO Holder,1
R Sai Kishore,Mohsin Khan,1
Rashid Khan,Avesh Khan,1
TA Boult,Q de Kock,3
TA Boult,A Badoni,2
M Prasidh Krishna,KL Rahul,1
R Ashwin,KH Pandya,1
YS Chahal,DJ Hooda,2
OC McCoy,JO Holder,1
OC McCoy,PVD Chameera,1
M Prasidh Krishna,MP Stoinis,1
Mohammed Siraj,Q de Kock,1
JR Hazlewood,M Vohra,1
PWH de Silva,DJ Hooda,2
HV Patel,MP Stoinis,1
JR Hazlewood,KL Rahul,1
JR Hazlewood,KH Pandya,1
C Sakariya,KL Rahul,1
Kuldeep Yadav,DJ Hooda,1
AR Patel,KR Mayers,1
KK Ahmed,MP Stoinis,1
KK Ahmed,N Pooran,1
C Sakariya,A Badoni,1
MM Ali,KR Mayers,2
MJ Santner,DJ Hooda,1
MM Ali,KL Rahul,1
MM Ali,KH Pandya,1
MM Ali,MP Stoinis,1
TU Deshpande,N Pooran,1
TU Deshpande,A Badoni,1
Fazalhaq Farooqi,KR Mayers,1
B Kumar,DJ Hooda,1
Umran Malik,KH Pandya,1
AU Rashid,KL Rahul,1
AU Rashid,R Shepherd,1
Mohammed Siraj,KR Mayers,2
WD Parnell,DJ Hooda,1
WD Parnell,KH Pandya,1
KV Sharma,MP Stoinis,2
Mohammed Siraj,KL Rahul,1
Mohammed Siraj,N Pooran,1
WD Parnell,A Badoni,1
HV Patel,MA Wood,1
HV Patel,JD Unadkat,1
Harpreet Brar,KR Mayers,1
Sikandar Raza,DJ Hooda,1
K Rabada,N Pooran,2
SM Curran,MP Stoinis,2
Arshdeep Singh,KL Rahul,2
SM Curran,K Gowtham,1
SM Curran,Yudhvir Singh,1
JO Holder,KL Rahul,1
R Ashwin,DJ Hooda,2
R Ashwin,KR Mayers,1
Sandeep Sharma,MP Stoinis,2
Sandeep Sharma,N Pooran,2
Sandeep Sharma,Yudhvir Singh,1
Rashid Khan,KR Mayers,1
Noor Ahmad,KH Pandya,1
Noor Ahmad,N Pooran,2
MM Sharma,KL Rahul,1
MM Sharma,MP Stoinis,2
MM Sharma,A Badoni,2
MM Sharma,DJ Hooda,1
K Rabada,KR Mayers,1
LS Livingstone,A Badoni,1
Arshdeep Singh,N Pooran,1
KV Sharma,N Pooran,1
HV Patel,K Gowtham,1
MK Lomror,Ravi Bishnoi,1
JR Hazlewood,Naveen-ul-Haq,1
HV Patel,A Mishra,1
M Theekshana,M Vohra,1
M Theekshana,KH Pandya,1
RA Jadeja,MP Stoinis,1
MM Ali,KS Sharma,1
M Pathirana,N Pooran,2
M Pathirana,K Gowtham,1
MM Sharma,KR Mayers,1
Mohammed Shami,DJ Hooda,1
Rashid Khan,Q de Kock,1
MM Sharma,KH Pandya,1
GD Phillips,KR Mayers,1
M Markande,Q de Kock,1
Abhishek Sharma,MP Stoinis,1
JP Behrendorff,DJ Hooda,1
JP Behrendorff,PN Mankad,1
PP Chawla,Q de Kock,1
C Green,KH Pandya,1
Harshit Rana,KS Sharma,1
VG Arora,PN Mankad,1
VG Arora,MP Stoinis,1
SP Narine,KH Pandya,1
CV Varun,Q de Kock,1
SP Narine,A Badoni,3
SN Thakur,N Pooran,1
SN Thakur,Ravi Bishnoi,1
Akash Madhwal,PN Mankad,1
CJ Jordan,KR Mayers,1
PP Chawla,KH Pandya,1
Akash Madhwal,A Badoni,1
Akash Madhwal,N Pooran,1
C Green,MP Stoinis,1
PP Chawla,K Gowtham,1
Akash Madhwal,Ravi Bishnoi,1
Akash Madhwal,DJ Hooda,1
Akash Madhwal,Mohsin Khan,1
TA Boult,D Padikkal,1
N Burger,A Badoni,1
Sandeep Sharma,KL Rahul,1
R Ashwin,MP Stoinis,1
SM Curran,D Padikkal,1
Arshdeep Singh,Q de Kock,1
SM Curran,A Badoni,1
SM Curran,Ravi Bishnoi,1
HV Patel,Mohsin Khan,1
GJ Maxwell,KL Rahul,1
Mohammed Siraj,D Padikkal,1
GJ Maxwell,MP Stoinis,1
RJW Topley,Q de Kock,1
Yash Dayal,A Badoni,1
UT Yadav,Q de Kock,1
UT Yadav,D Padikkal,1
DG Nalkande,KL Rahul,1
DG Nalkande,MP Stoinis,1
Rashid Khan,A Badoni,1
KK Ahmed,Q de Kock,1
KK Ahmed,D Padikkal,1
Kuldeep Yadav,MP Stoinis,1
Kuldeep Yadav,N Pooran,1
I Sharma,DJ Hooda,2
Mukesh Kumar,KH Pandya,1
VG Arora,Q de Kock,1
MA Starc,DJ Hooda,1
AD Russell,KL Rahul,1
CV Varun,MP Stoinis,1
MA Starc,N Pooran,1
MA Starc,Arshad Khan (2),1
Mustafizur Rahman,Q de Kock,1
M Pathirana,KL Rahul,1
DL Chahar,Q de Kock,1
Mustafizur Rahman,KL Rahul,1
M Pathirana,D Padikkal,1
Avesh Khan,KL Rahul,1
N Thushara,AA Kulkarni,1
HH Pandya,KL Rahul,1
HH Pandya,DJ Hooda,1
Mohammad Nabi,MP Stoinis,1
G Coetzee,AJ Turner,1
HH Pandya,A Badoni,1
MA Starc,AA Kulkarni,1
Harshit Rana,KL Rahul,1
CV Varun,DJ Hooda,1
AD Russell,MP Stoinis,1
AD Russell,N Pooran,1
CV Varun,AJ Turner,1
Harshit Rana,KH Pandya,1
CV Varun,Yudhvir Singh,1
Harshit Rana,Ravi Bishnoi,1
