bowler,batsman,times
Imran Tahir,PA Patel,1
Imran Tahir,RG Sharma,1
Imran Tahir,JC Buttler,1
R Bhatia,AT Rayudu,1
R Bhatia,KH Pandya,1
A Zampa,N Rana,1
BA Stokes,KA Pollard,1
AB Dinda,TG Southee,1
Kuldeep Yadav,PA Patel,1
AS Rajpoot,JC Buttler,1
SP Narine,RG Sharma,8
AS Rajpoot,KH Pandya,1
CR Woakes,KA Pollard,2
AS Rajpoot,N Rana,1
A Nehra,JC Buttler,2
Rashid Khan,RG Sharma,4
DJ Hooda,PA Patel,1
B Kumar,KA Pollard,3
B Kumar,KH Pandya,1
B Kumar,N Rana,1
STR Binny,JC Buttler,1
S Badree,PA Patel,1
S Badree,MJ McClenaghan,1
S Badree,RG Sharma,1
S Badree,N Rana,1
YS Chahal,KA Pollard,4
P Kumar,PA Patel,1
AJ Tye,N Rana,1
MM Patel,JC Buttler,1
AJ Tye,KA Pollard,2
MP Stoinis,PA Patel,1
MM Sharma,JC Buttler,2
K Rabada,PA Patel,1
CH Morris,JC Buttler,1
PJ Cummins,N Rana,1
A Mishra,RG Sharma,6
A Mishra,KH Pandya,1
PJ Cummins,KA Pollard,1
K Rabada,Harbhajan Singh,1
CH Morris,HH Pandya,2
BA Stokes,JC Buttler,1
DT Christian,N Rana,1
Washington Sundar,PA Patel,1
BA Stokes,KV Sharma,1
Imran Tahir,KA Pollard,1
JD Unadkat,HH Pandya,2
JD Unadkat,RG Sharma,3
JD Unadkat,MJ McClenaghan,1
Ankit Soni,JC Buttler,1
Ankit Soni,N Rana,1
JP Faulkner,RG Sharma,3
JP Faulkner,PA Patel,1
Basil Thampi,KA Pollard,1
Basil Thampi,HH Pandya,1
Basil Thampi,Harbhajan Singh,1
Basil Thampi,MJ McClenaghan,1
IK Pathan,JJ Bumrah,1
IK Pathan,KH Pandya,1
JP Faulkner,KA Pollard,2
JP Faulkner,JC Buttler,1
A Choudhary,PA Patel,1
P Negi,JC Buttler,1
P Negi,N Rana,1
P Negi,KH Pandya,1
SR Watson,KV Sharma,1
A Mishra,PA Patel,1
CJ Anderson,LMP Simmons,1
K Rabada,RG Sharma,2
Mohammad Nabi,LMP Simmons,1
S Kaul,N Rana,1
S Kaul,PA Patel,1
Rashid Khan,HH Pandya,2
S Kaul,RG Sharma,1
B Kumar,KV Sharma,1
MM Sharma,PA Patel,1
GJ Maxwell,LMP Simmons,1
R Tewatia,RG Sharma,1
AR Patel,N Rana,1
Sandeep Sharma,HH Pandya,1
MM Sharma,KV Sharma,1
TA Boult,LMP Simmons,1
AS Rajpoot,RG Sharma,2
UT Yadav,SS Tiwary,1
Kuldeep Yadav,AT Rayudu,1
TA Boult,KA Pollard,1
SN Thakur,LMP Simmons,1
Washington Sundar,RG Sharma,3
Washington Sundar,AT Rayudu,1
Washington Sundar,KA Pollard,1
LH Ferguson,HH Pandya,1
SN Thakur,KH Pandya,2
SN Thakur,PA Patel,1
JD Unadkat,KV Sharma,1
SN Thakur,MJ McClenaghan,1
PP Chawla,LMP Simmons,1
UT Yadav,PA Patel,2
PP Chawla,AT Rayudu,4
NM Coulter-Nile,RG Sharma,2
JD Unadkat,PA Patel,1
