bowler,batsman,times
P Kumar,GC Smith,1
AM Nayar,M Manhas,1
R McLaren,JD Ryder,1
R Vinay Kumar,JD Ryder,1
RA Jadeja,GC Smith,1
BJ Hodge,M Manhas,1
BJ Hodge,Yuvraj Singh,1
M Muralitharan,RV Uthappa,2
RA Jadeja,WD Parnell,1
AB Dinda,GC Smith,1
JR Hopes,M Manhas,1
S Nadeem,JD Ryder,1
S Nadeem,RV Uthappa,1
AB Dinda,MD Mishra,1
AN Ahmed,JD Ryder,1
AN Ahmed,M Manhas,1
MM Patel,TD Paine,1
MM Patel,Yuvraj Singh,1
AG Murtaza,MD Mishra,1
SL Malinga,M Kartik,1
AG Murtaza,RV Uthappa,1
JEC Franklin,WD Parnell,1
SL Malinga,SB Wagh,1
MM Patel,R Sharma,2
JA Morkel,MD Mishra,1
R Ashwin,JD Ryder,1
JA Morkel,MK Pandey,1
R Ashwin,RV Uthappa,2
DE Bollinger,M Manhas,1
JA Morkel,Yuvraj Singh,1
JA Morkel,R Sharma,1
DE Bollinger,JE Taylor,1
DE Bollinger,NL McCullum,1
DE Bollinger,JD Ryder,1
DE Bollinger,MD Mishra,1
KMDN Kulasekara,M Manhas,1
TG Southee,MK Pandey,1
DE Bollinger,MR Marsh,1
S Aravind,TD Paine,1
J Syed Mohammad,JD Ryder,1
DL Vettori,MK Pandey,1
Z Khan,Yuvraj Singh,1
CH Gayle,M Manhas,1
J Botha,JD Ryder,1
SK Warne,RV Uthappa,1
SK Trivedi,Yuvraj Singh,2
SK Trivedi,MK Pandey,1
SR Watson,Harpreet Singh,1
SK Trivedi,M Manhas,1
SK Trivedi,R Sharma,1
Harbhajan Singh,JD Ryder,2
MM Patel,GC Smith,1
KA Pollard,AA Jhunjhunwala,1
SL Malinga,Yuvraj Singh,1
SL Malinga,MK Pandey,3
SL Malinga,M Manhas,1
KA Pollard,SB Wagh,1
BA Bhatt,JD Ryder,1
RJ Harris,RV Uthappa,1
P Kumar,MK Pandey,2
SJ Srivastava,Yuvraj Singh,1
SJ Srivastava,AA Jhunjhunwala,1
PP Ojha,JD Ryder,1
A Mishra,MK Pandey,2
DT Christian,RV Uthappa,1
DT Christian,Yuvraj Singh,2
DW Steyn,JD Ryder,1
DT Christian,SC Ganguly,1
PP Ojha,MK Pandey,1
A Mishra,RV Uthappa,1
A Mishra,M Manhas,1
JP Duminy,CJ Ferguson,1
PP Ojha,MR Marsh,1
PP Ojha,WD Parnell,1
YK Pathan,JD Ryder,2
Iqbal Abdulla,MK Pandey,2
Shakib Al Hasan,CJ Ferguson,1
