bowler,batsman,times
C Sakariya,MA Agarwal,1
R Parag,CH Gayle,1
CH Morris,DJ Hooda,1
CH Morris,N Pooran,1
C Sakariya,KL Rahul,2
C Sakariya,JA Richardson,1
DL Chahar,MA Agarwal,1
DL Chahar,KL Rahul,1
DL Chahar,CH Gayle,1
DL Chahar,N Pooran,1
DL Chahar,DJ Hooda,1
MM Ali,JA Richardson,1
DJ Bravo,M Ashwin,1
SM Curran,M Shahrukh Khan,1
LI Meriwala,MA Agarwal,1
K Rabada,KL Rahul,1
CR Woakes,CH Gayle,1
Avesh Khan,N Pooran,1
B Kumar,KL Rahul,1
KK Ahmed,MA Agarwal,1
V Shankar,N Pooran,1
Rashid Khan,CH Gayle,2
Abhishek Sharma,DJ Hooda,1
Abhishek Sharma,MC Henriques,1
KK Ahmed,FA Allen,1
KK Ahmed,M Shahrukh Khan,4
S Kaul,M Ashwin,1
S Kaul,Mohammed Shami,1
RD Chahar,MA Agarwal,1
PJ Cummins,KL Rahul,1
Shivam Mavi,CH Gayle,1
M Prasidh Krishna,DJ Hooda,1
SP Narine,MA Agarwal,1
SP Narine,MC Henriques,1
CV Varun,N Pooran,2
M Prasidh Krishna,M Shahrukh Khan,1
PJ Cummins,Ravi Bishnoi,1
M Prasidh Krishna,CJ Jordan,1
KA Jamieson,P Simran Singh,1
DR Sams,CH Gayle,1
KA Jamieson,N Pooran,1
Shahbaz Ahmed,DJ Hooda,1
YS Chahal,M Shahrukh Khan,1
K Rabada,P Simran Singh,1
K Rabada,CH Gayle,1
AR Patel,DJ Malan,1
AR Patel,DJ Hooda,1
Avesh Khan,M Shahrukh Khan,1
K Rabada,CJ Jordan,1
Shahbaz Ahmed,KL Rahul,1
YS Chahal,N Pooran,1
YS Chahal,MA Agarwal,2
YS Chahal,SN Khan,1
GHS Garton,AK Markram,1
HV Patel,M Shahrukh Khan,1
SN Thakur,MA Agarwal,1
SN Thakur,SN Khan,1
DL Chahar,M Shahrukh Khan,1
SN Thakur,AK Markram,1
KH Pandya,Mandeep Singh,1
KA Pollard,CH Gayle,1
KA Pollard,KL Rahul,1
JJ Bumrah,N Pooran,1
RD Chahar,AK Markram,1
JJ Bumrah,DJ Hooda,1
CV Varun,MA Agarwal,1
SP Narine,AK Markram,1
Shivam Mavi,DJ Hooda,1
VR Iyer,KL Rahul,1
JO Holder,KL Rahul,1
JO Holder,MA Agarwal,1
Sandeep Sharma,N Pooran,1
Abdul Samad,AK Markram,1
JO Holder,DJ Hooda,1
B Kumar,NT Ellis,1
R Tewatia,MA Agarwal,1
Kartik Tyagi,N Pooran,1
Kartik Tyagi,DJ Hooda,1
PWH de Silva,MA Agarwal,1
HV Patel,S Dhawan,1
Mohammed Siraj,PBB Rajapaksa,1
Mohammed Siraj,RA Bawa,1
Akash Deep,LS Livingstone,1
UT Yadav,MA Agarwal,1
Shivam Mavi,PBB Rajapaksa,1
TG Southee,S Dhawan,1
UT Yadav,LS Livingstone,1
SP Narine,RA Bawa,1
TG Southee,M Shahrukh Khan,1
UT Yadav,Harpreet Brar,1
UT Yadav,RD Chahar,1
AD Russell,K Rabada,1
AD Russell,Arshdeep Singh,1
Mukesh Choudhary,MA Agarwal,1
CJ Jordan,PBB Rajapaksa,1
DJ Bravo,S Dhawan,1
RA Jadeja,LS Livingstone,1
D Pretorius,JM Sharma,1
CJ Jordan,M Shahrukh Khan,1
CJ Jordan,OF Smith,1
D Pretorius,RD Chahar,1
HH Pandya,MA Agarwal,1
LH Ferguson,JM Bairstow,2
Rashid Khan,S Dhawan,1
DG Nalkande,JM Sharma,1
DG Nalkande,OF Smith,1
Rashid Khan,LS Livingstone,1
Rashid Khan,M Shahrukh Khan,1
LH Ferguson,K Rabada,1
Mohammed Shami,VG Arora,1
M Ashwin,MA Agarwal,1
JD Unadkat,JM Bairstow,1
JJ Bumrah,LS Livingstone,1
Basil Thampi,S Dhawan,1
Basil Thampi,M Shahrukh Khan,1
B Kumar,S Dhawan,2
T Natarajan,P Simran Singh,1
J Suchith,JM Bairstow,1
Umran Malik,JM Sharma,1
B Kumar,M Shahrukh Khan,1
B Kumar,LS Livingstone,1
Umran Malik,OF Smith,1
Umran Malik,RD Chahar,1
