bowler,batsman,times
B Kumar,DJM Short,1
S Kaul,AM Rahane,1
B Stanlake,BA Stokes,1
Shakib Al Hasan,RA Tripathi,1
Shakib Al Hasan,SV Samson,2
S Kaul,K Gowtham,1
Rashid Khan,JC Buttler,4
B Kumar,S Gopal,1
S Kaul,JD Unadkat,1
S Nadeem,DJM Short,1
TA Boult,BA Stokes,2
S Nadeem,SV Samson,2
S Nadeem,AM Rahane,4
Mohammed Shami,JC Buttler,2
CR Woakes,AM Rahane,1
YS Chahal,DJM Short,1
YS Chahal,BA Stokes,1
CR Woakes,JC Buttler,2
N Rana,AM Rahane,1
Shivam Mavi,SV Samson,5
N Rana,DJM Short,1
Kuldeep Yadav,RA Tripathi,1
PP Chawla,BA Stokes,2
TK Curran,K Gowtham,1
TK Curran,S Gopal,1
Shivam Mavi,DS Kulkarni,1
SN Thakur,H Klaasen,1
DL Chahar,SV Samson,3
DL Chahar,AM Rahane,3
DJ Bravo,JC Buttler,1
DJ Bravo,RA Tripathi,1
Imran Tahir,BA Stokes,1
SR Watson,K Gowtham,1
SN Thakur,STR Binny,1
KV Sharma,JD Unadkat,1
KV Sharma,B Laughlin,1
KH Pandya,RA Tripathi,2
MJ McClenaghan,AM Rahane,1
HH Pandya,BA Stokes,1
JJ Bumrah,SV Samson,2
JJ Bumrah,JC Buttler,2
Mustafizur Rahman,H Klaasen,1
HH Pandya,JC Archer,1
Sandeep Sharma,RA Tripathi,1
S Kaul,SV Samson,2
YK Pathan,BA Stokes,1
S Kaul,MK Lomror,1
Basil Thampi,K Gowtham,1
A Mishra,JC Buttler,1
TA Boult,SV Samson,3
GJ Maxwell,DJM Short,1
TA Boult,RA Tripathi,1
R Ashwin,DJM Short,1
AR Patel,AM Rahane,1
AJ Tye,SV Samson,1
Mujeeb Ur Rahman,BA Stokes,2
Mujeeb Ur Rahman,JC Buttler,2
Mujeeb Ur Rahman,JC Archer,1
AS Rajpoot,K Gowtham,2
AJ Tye,RA Tripathi,1
AJ Tye,S Gopal,1
AJ Tye,AM Rahane,1
MP Stoinis,K Gowtham,1
Mujeeb Ur Rahman,SV Samson,1
AJ Tye,STR Binny,1
AJ Tye,BA Stokes,1
AJ Tye,JC Archer,1
AJ Tye,JD Unadkat,1
Harbhajan Singh,BA Stokes,1
RA Jadeja,AM Rahane,2
DJ Bravo,SV Samson,2
SN Thakur,P Chopra,1
DJ Bravo,STR Binny,1
DJ Willey,K Gowtham,1
JJ Bumrah,DJM Short,1
HH Pandya,AM Rahane,1
HH Pandya,SV Samson,2
AD Russell,RA Tripathi,1
Kuldeep Yadav,AM Rahane,2
Kuldeep Yadav,JC Buttler,2
SP Narine,SV Samson,2
Kuldeep Yadav,STR Binny,1
Shivam Mavi,K Gowtham,1
Kuldeep Yadav,BA Stokes,1
M Prasidh Krishna,IS Sodhi,1
AD Russell,JC Archer,1
M Prasidh Krishna,JD Unadkat,1
UT Yadav,JC Archer,1
UT Yadav,AM Rahane,1
UT Yadav,SV Samson,1
Mohammed Siraj,H Klaasen,1
TG Southee,K Gowtham,1
PP Chawla,RA Tripathi,1
PP Chawla,SV Samson,2
M Prasidh Krishna,STR Binny,1
R Ashwin,AM Rahane,4
R Ashwin,JC Buttler,2
SM Curran,SPD Smith,2
SM Curran,SV Samson,2
Mujeeb Ur Rahman,RA Tripathi,1
Mohammed Shami,JC Archer,2
AS Rajpoot,JD Unadkat,1
SN Thakur,JC Buttler,2
Imran Tahir,RA Tripathi,1
Imran Tahir,SPD Smith,1
SN Thakur,K Gowtham,1
DJ Bravo,BA Stokes,1
DJ Bravo,S Gopal,1
YS Chahal,AM Rahane,3
YS Chahal,JC Buttler,1
Mohammed Siraj,SPD Smith,1
M Prasidh Krishna,AM Rahane,1
HF Gurney,JC Buttler,1
HF Gurney,RA Tripathi,1
MJ Santner,SV Samson,2
RA Jadeja,RA Tripathi,1
RA Jadeja,SPD Smith,3
SN Thakur,R Parag,1
DL Chahar,BA Stokes,2
KH Pandya,AM Rahane,1
RD Chahar,JC Buttler,2
KH Pandya,LS Livingstone,1
JJ Bumrah,SPD Smith,2
Arshdeep Singh,JC Buttler,1
R Ashwin,SV Samson,1
R Ashwin,RA Tripathi,1
M Ashwin,AJ Turner,1
Arshdeep Singh,AM Rahane,1
Mohammed Shami,S Gopal,1
RD Chahar,AM Rahane,1
RD Chahar,SV Samson,2
RD Chahar,BA Stokes,1
HH Pandya,R Parag,1
JJ Bumrah,AJ Turner,1
K Rabada,SV Samson,3
AR Patel,SPD Smith,2
CH Morris,BA Stokes,2
I Sharma,AJ Turner,1
K Rabada,STR Binny,1
K Rabada,R Parag,2
SP Narine,AM Rahane,2
SP Narine,SPD Smith,1
PP Chawla,STR Binny,1
M Prasidh Krishna,S Gopal,1
AD Russell,R Parag,1
Rashid Khan,LS Livingstone,2
Shakib Al Hasan,AM Rahane,2
KK Ahmed,SPD Smith,1
YS Chahal,SV Samson,4
I Sharma,AM Rahane,1
I Sharma,LS Livingstone,1
AR Patel,SV Samson,2
I Sharma,MK Lomror,1
A Mishra,S Gopal,1
A Mishra,STR Binny,2
A Mishra,K Gowtham,1
TA Boult,IS Sodhi,1
TA Boult,R Parag,1
DL Chahar,YBK Jaiswal,1
L Ngidi,SV Samson,1
L Ngidi,DA Miller,1
PP Chawla,RV Uthappa,1
SM Curran,R Tewatia,1
SM Curran,R Parag,1
A Nortje,SPD Smith,1
MP Stoinis,SV Samson,1
R Ashwin,MK Lomror,1
MP Stoinis,YBK Jaiswal,3
AR Patel,AJ Tye,1
K Rabada,JC Archer,2
HV Patel,S Gopal,1
K Rabada,R Tewatia,2
K Rabada,VR Aaron,1
PJ Cummins,SPD Smith,2
Shivam Mavi,JC Buttler,1
KL Nagarkoti,RV Uthappa,1
KL Nagarkoti,R Parag,1
CV Varun,R Tewatia,2
SP Narine,S Gopal,1
CV Varun,JC Archer,1
Kuldeep Yadav,JD Unadkat,1
KK Ahmed,BA Stokes,1
T Natarajan,SPD Smith,1
KK Ahmed,JC Buttler,1
Rashid Khan,RV Uthappa,1
Rashid Khan,SV Samson,1
TA Boult,YBK Jaiswal,1
RD Chahar,MK Lomror,1
JL Pattinson,JC Buttler,1
KA Pollard,TK Curran,1
JJ Bumrah,R Tewatia,1
JJ Bumrah,S Gopal,2
JJ Bumrah,JC Archer,1
JL Pattinson,AS Rajpoot,1
I Udana,SPD Smith,1
NA Saini,JC Buttler,1
YS Chahal,RV Uthappa,2
I Udana,R Parag,1
YS Chahal,MK Lomror,2
JO Holder,RV Uthappa,1
JO Holder,SV Samson,3
Rashid Khan,BA Stokes,1
V Shankar,JC Buttler,1
JO Holder,SPD Smith,1
JO Holder,R Parag,2
CH Morris,JC Buttler,1
CH Morris,SPD Smith,1
CH Morris,JC Archer,1
SS Cottrell,JC Buttler,1
JDS Neesham,SPD Smith,1
Mohammed Shami,SV Samson,1
Mohammed Shami,RV Uthappa,1
Mohammed Shami,R Tewatia,2
M Ashwin,R Parag,1
PJ Cummins,RV Uthappa,1
PJ Cummins,BA Stokes,1
PJ Cummins,R Parag,2
CV Varun,JC Buttler,2
KL Nagarkoti,JC Archer,1
Shivam Mavi,Kartik Tyagi,1
