bowler,batsman,times
MJ McClenaghan,MA Agarwal,1
TG Southee,AM Rahane,1
HH Pandya,BA Stokes,1
Sandeep Sharma,MA Agarwal,1
T Natarajan,AM Rahane,1
MP Stoinis,SPD Smith,1
Swapnil Singh,MS Dhoni,1
AR Patel,BA Stokes,1
Sandeep Sharma,DT Christian,1
Z Khan,AM Rahane,2
Z Khan,MA Agarwal,1
CH Morris,RA Tripathi,1
S Nadeem,F du Plessis,1
PJ Cummins,BA Stokes,1
A Mishra,MS Dhoni,1
A Mishra,R Bhatia,1
Z Khan,DL Chahar,1
A Mishra,A Zampa,1
PJ Cummins,AB Dinda,1
P Kumar,AM Rahane,1
AJ Tye,RA Tripathi,1
DR Smith,SPD Smith,1
AJ Tye,BA Stokes,1
RA Jadeja,MS Dhoni,1
AJ Tye,Ankit Sharma,1
AJ Tye,MK Tiwary,1
AJ Tye,SN Thakur,1
S Badree,AM Rahane,2
P Negi,RA Tripathi,2
SR Watson,MS Dhoni,1
S Aravind,SPD Smith,1
S Aravind,DT Christian,1
AF Milne,BA Stokes,1
AF Milne,SN Thakur,1
AF Milne,MK Tiwary,1
Bipul Sharma,AM Rahane,2
Rashid Khan,SPD Smith,1
Rashid Khan,RA Tripathi,1
B Kumar,BA Stokes,1
KV Sharma,AM Rahane,2
KV Sharma,RA Tripathi,1
Harbhajan Singh,SPD Smith,1
MG Johnson,BA Stokes,1
JJ Bumrah,MS Dhoni,2
JJ Bumrah,MK Tiwary,2
PP Chawla,RA Tripathi,1
SP Narine,AM Rahane,1
Kuldeep Yadav,MS Dhoni,2
Kuldeep Yadav,MK Tiwary,1
UT Yadav,DT Christian,1
STR Binny,SPD Smith,1
PJ Sangwan,AM Rahane,1
PJ Sangwan,SPD Smith,1
Basil Thampi,MK Tiwary,1
JP Faulkner,RA Tripathi,1
Basil Thampi,MS Dhoni,1
UT Yadav,AM Rahane,1
CR Woakes,SPD Smith,1
CR Woakes,MK Tiwary,1
SP Narine,BA Stokes,1
CR Woakes,RA Tripathi,1
A Nehra,RA Tripathi,1
Rashid Khan,BA Stokes,1
S Kaul,SPD Smith,1
S Kaul,DT Christian,1
B Kumar,MK Tiwary,1
S Kaul,MS Dhoni,1
S Kaul,SN Thakur,1
Z Khan,RA Tripathi,1
S Nadeem,SPD Smith,1
Mohammed Shami,BA Stokes,1
PJ Cummins,MS Dhoni,1
Mohammed Shami,DT Christian,1
PJ Cummins,MK Tiwary,1
AR Patel,RA Tripathi,1
MJ McClenaghan,RA Tripathi,1
SL Malinga,SPD Smith,1
JJ Bumrah,RA Tripathi,1
MG Johnson,AM Rahane,1
MG Johnson,MK Tiwary,1
MG Johnson,SPD Smith,1
MG Johnson,Washington Sundar,1
