bowler,batsman,times
Harbhajan Singh,F du Plessis,1
PV Tambe,AM Rahane,1
DJ Bravo,KP Pietersen,1
PV Tambe,F du Plessis,1
RA Jadeja,SPD Smith,1
RA Jadeja,MR Marsh,1
Sandeep Sharma,AM Rahane,2
KJ Abbott,KP Pietersen,1
Sandeep Sharma,NLTC Perera,1
MM Sharma,SPD Smith,1
MM Sharma,F du Plessis,1
MM Sharma,MS Dhoni,1
MM Sharma,IK Pathan,1
KW Richardson,F du Plessis,1
KW Richardson,KP Pietersen,1
HV Patel,SPD Smith,1
T Shamsi,AM Rahane,1
HV Patel,MS Dhoni,1
SR Watson,NLTC Perera,1
SR Watson,R Ashwin,1
KW Richardson,R Bhatia,1
KW Richardson,M Ashwin,1
Shakib Al Hasan,F du Plessis,1
R Sathish,SPD Smith,1
R Sathish,NLTC Perera,1
SP Narine,AM Rahane,1
UT Yadav,JA Morkel,1
B Kumar,AM Rahane,2
MC Henriques,F du Plessis,1
A Nehra,MS Dhoni,2
P Kumar,SS Tiwary,1
DJ Bravo,AM Rahane,1
DJ Bravo,SPD Smith,1
MJ McClenaghan,AM Rahane,1
JJ Bumrah,SPD Smith,1
Harbhajan Singh,PSP Handscomb,1
JJ Bumrah,SS Tiwary,1
JJ Bumrah,MS Dhoni,1
A Mishra,UT Khawaja,1
Imran Tahir,SS Tiwary,1
Imran Tahir,MS Dhoni,1
CJ Jordan,UT Khawaja,1
YS Chahal,SS Tiwary,1
SR Watson,MS Dhoni,1
CJ Jordan,NLTC Perera,1
SR Watson,AM Rahane,1
SR Watson,GJ Bailey,1
A Nehra,UT Khawaja,1
MC Henriques,GJ Bailey,1
BB Sran,R Ashwin,1
A Nehra,SS Tiwary,1
A Nehra,NLTC Perera,1
A Nehra,A Zampa,1
AD Russell,AM Rahane,1
Shakib Al Hasan,UT Khawaja,1
AS Rajpoot,SS Tiwary,1
PP Chawla,GJ Bailey,1
SP Narine,IK Pathan,1
PP Chawla,NLTC Perera,1
CH Morris,UT Khawaja,1
AR Patel,GJ Bailey,1
Gurkeerat Singh,SS Tiwary,1
Gurkeerat Singh,UT Khawaja,1
R Dhawan,IK Pathan,1
MM Sharma,NLTC Perera,1
