bowler,batsman,times
Rashid Khan,Mandeep Singh,1
DJ Hooda,CH Gayle,1
MC Henriques,KM Jadhav,1
Rashid Khan,TM Head,1
Bipul Sharma,Sachin Baby,1
B Kumar,STR Binny,1
A Nehra,SR Watson,1
A Nehra,S Aravind,1
B Kumar,TS Mills,1
BCJ Cutting,YS Chahal,1
CH Morris,CH Gayle,3
PJ Cummins,Mandeep Singh,1
S Nadeem,SR Watson,1
Z Khan,STR Binny,1
Z Khan,Vishnu Vinod,1
Z Khan,KM Jadhav,1
CH Morris,P Negi,1
CH Morris,TS Mills,1
AR Patel,SR Watson,3
Sandeep Sharma,Vishnu Vinod,1
VR Aaron,KM Jadhav,1
VR Aaron,Mandeep Singh,1
HH Pandya,CH Gayle,1
MJ McClenaghan,V Kohli,4
KH Pandya,AB de Villiers,4
JJ Bumrah,KM Jadhav,1
MJ McClenaghan,Mandeep Singh,1
SN Thakur,Mandeep Singh,2
BA Stokes,V Kohli,1
Imran Tahir,AB de Villiers,2
JD Unadkat,KM Jadhav,1
BA Stokes,SR Watson,1
SN Thakur,P Negi,1
SN Thakur,STR Binny,1
JD Unadkat,S Badree,1
BA Stokes,AF Milne,1
Basil Thampi,CH Gayle,1
DS Kulkarni,V Kohli,4
NM Coulter-Nile,V Kohli,1
UT Yadav,Mandeep Singh,1
NM Coulter-Nile,AB de Villiers,1
NM Coulter-Nile,KM Jadhav,1
CR Woakes,CH Gayle,1
CR Woakes,STR Binny,1
C de Grandhomme,P Negi,1
CR Woakes,S Badree,1
C de Grandhomme,TS Mills,1
C de Grandhomme,YS Chahal,1
Basil Thampi,V Kohli,1
AJ Tye,CH Gayle,1
AJ Tye,TM Head,1
RA Jadeja,KM Jadhav,1
Ankit Soni,AB de Villiers,1
Ankit Soni,P Negi,1
RA Jadeja,S Badree,1
AJ Tye,Mandeep Singh,2
JP Faulkner,S Aravind,1
JP Faulkner,YS Chahal,1
JD Unadkat,TM Head,1
LH Ferguson,AB de Villiers,1
LH Ferguson,KM Jadhav,1
Washington Sundar,Sachin Baby,1
LH Ferguson,STR Binny,1
Imran Tahir,P Negi,1
Imran Tahir,AF Milne,1
Imran Tahir,S Badree,1
DT Christian,V Kohli,1
KV Sharma,Mandeep Singh,1
KH Pandya,TM Head,1
JJ Bumrah,SR Watson,3
MJ McClenaghan,P Negi,1
MJ McClenaghan,KM Jadhav,1
MJ McClenaghan,S Aravind,1
Sandeep Sharma,CH Gayle,4
Sandeep Sharma,V Kohli,7
Sandeep Sharma,AB de Villiers,2
MM Sharma,KM Jadhav,1
GJ Maxwell,Mandeep Singh,1
GJ Maxwell,S Aravind,1
AR Patel,P Negi,1
AR Patel,S Badree,1
MM Sharma,A Choudhary,1
UT Yadav,CH Gayle,2
UT Yadav,V Kohli,4
SP Narine,AB de Villiers,4
SP Narine,Mandeep Singh,1
CR Woakes,KM Jadhav,1
UT Yadav,P Negi,1
PJ Cummins,Vishnu Vinod,1
S Nadeem,CH Gayle,1
Z Khan,TM Head,1
Z Khan,V Kohli,3
Mohammed Shami,KM Jadhav,1
PJ Cummins,Sachin Baby,1
PP Chawla,Q de Kock,1
SP Narine,BB McCullum,1
N Rana,AB de Villiers,1
N Rana,V Kohli,1
MG Johnson,SN Khan,1
R Vinay Kumar,Mandeep Singh,1
R Vinay Kumar,CR Woakes,1
AR Patel,BB McCullum,1
