bowler,batsman,times
Mustafizur Rahman,F du Plessis,1
Mustafizur Rahman,RM Patidar,1
DL Chahar,GJ Maxwell,1
Mustafizur Rahman,V Kohli,1
Mustafizur Rahman,C Green,1
TU Deshpande,Anuj Rawat,1
K Rabada,F du Plessis,1
K Rabada,C Green,1
Harpreet Brar,RM Patidar,1
Harpreet Brar,GJ Maxwell,1
HV Patel,V Kohli,1
SM Curran,Anuj Rawat,1
Harshit Rana,F du Plessis,1
AD Russell,C Green,1
SP Narine,GJ Maxwell,1
AD Russell,RM Patidar,2
Harshit Rana,Anuj Rawat,1
MA Starc,KD Karthik,1
M Siddharth,V Kohli,1
MP Yadav,F du Plessis,1
MP Yadav,GJ Maxwell,1
MP Yadav,C Green,1
MP Stoinis,Anuj Rawat,1
MP Yadav,RM Patidar,1
Naveen-ul-Haq,KD Karthik,1
Yash Thakur,Mayank Dagar,1
Yash Thakur,MK Lomror,1
Naveen-ul-Haq,Mohammed Siraj,1
YS Chahal,F du Plessis,1
N Burger,GJ Maxwell,1
YS Chahal,Saurav Chauhan,1
JJ Bumrah,V Kohli,1
Akash Madhwal,WG Jacks,1
G Coetzee,RM Patidar,1
S Gopal,GJ Maxwell,1
JJ Bumrah,F du Plessis,1
JJ Bumrah,MK Lomror,1
JJ Bumrah,Saurav Chauhan,1
JJ Bumrah,Vijaykumar Vyshak,1
M Markande,V Kohli,1
JD Unadkat,WG Jacks,1
M Markande,RM Patidar,1
PJ Cummins,F du Plessis,1
PJ Cummins,Saurav Chauhan,1
PJ Cummins,MK Lomror,1
T Natarajan,KD Karthik,1
Harshit Rana,V Kohli,1
CV Varun,F du Plessis,1
AD Russell,WG Jacks,1
SP Narine,C Green,1
SP Narine,MK Lomror,1
Harshit Rana,SS Prabhudessai,1
AD Russell,KD Karthik,1
MA Starc,KV Sharma,1
MA Starc,LH Ferguson,1
T Natarajan,F du Plessis,1
M Markande,WG Jacks,1
JD Unadkat,RM Patidar,1
JD Unadkat,V Kohli,1
JD Unadkat,MK Lomror,1
PJ Cummins,KD Karthik,1
T Natarajan,Swapnil Singh,1
R Sai Kishore,F du Plessis,1
J Little,F du Plessis,1
Noor Ahmad,WG Jacks,1
J Little,RM Patidar,1
J Little,GJ Maxwell,1
J Little,C Green,1
Noor Ahmad,V Kohli,1
V Kaverappa,F du Plessis,1
V Kaverappa,WG Jacks,1
SM Curran,RM Patidar,1
Arshdeep Singh,V Kohli,1
HV Patel,KD Karthik,1
HV Patel,MK Lomror,1
HV Patel,C Green,1
Mukesh Kumar,F du Plessis,1
I Sharma,V Kohli,1
Rasikh Salam,RM Patidar,1
Kuldeep Yadav,WG Jacks,1
KK Ahmed,MK Lomror,1
KK Ahmed,KD Karthik,1
Rasikh Salam,Swapnil Singh,1
Mukesh Kumar,KV Sharma,1
Mukesh Kumar,Mohammed Siraj,1
MJ Santner,V Kohli,1
MJ Santner,F du Plessis,1
SN Thakur,RM Patidar,1
TU Deshpande,KD Karthik,1
SN Thakur,GJ Maxwell,1
TA Boult,F du Plessis,1
YS Chahal,V Kohli,1
R Ashwin,C Green,1
R Ashwin,GJ Maxwell,1
Avesh Khan,RM Patidar,1
Avesh Khan,KD Karthik,1
Avesh Khan,MK Lomror,1
Sandeep Sharma,KV Sharma,1
