bowler,batsman,times
A Choudhary,DA Warner,1
STR Binny,S Dhawan,1
YS Chahal,MC Henriques,1
TS Mills,Yuvraj Singh,1
P Kumar,S Dhawan,2
Harbhajan Singh,DA Warner,3
Harbhajan Singh,DJ Hooda,1
MJ McClenaghan,S Dhawan,3
HH Pandya,Yuvraj Singh,1
JJ Bumrah,BCJ Cutting,1
SL Malinga,V Shankar,1
JJ Bumrah,NV Ojha,1
JJ Bumrah,Rashid Khan,4
YK Pathan,S Dhawan,1
Kuldeep Yadav,DA Warner,2
CR Woakes,MC Henriques,1
SP Narine,DJ Hooda,2
CR Woakes,Yuvraj Singh,1
TA Boult,BCJ Cutting,1
MM Sharma,S Dhawan,3
AR Patel,MC Henriques,1
AR Patel,Yuvraj Singh,1
KC Cariappa,NV Ojha,1
MM Sharma,DJ Hooda,2
Sandeep Sharma,Mohammad Nabi,1
CH Morris,DA Warner,1
CH Morris,KS Williamson,2
CH Morris,S Dhawan,1
CH Morris,Yuvraj Singh,1
Imran Tahir,S Dhawan,1
DT Christian,KS Williamson,1
JD Unadkat,DA Warner,1
GJ Maxwell,DA Warner,1
GJ Maxwell,Yuvraj Singh,1
CR Woakes,S Dhawan,1
CR Woakes,DA Warner,1
NM Coulter-Nile,KS Williamson,2
Mohammed Shami,DA Warner,2
A Mishra,S Dhawan,3
Mohammed Shami,KS Williamson,4
BA Stokes,S Dhawan,1
BA Stokes,KS Williamson,1
BA Stokes,DA Warner,2
Imran Tahir,MC Henriques,1
JD Unadkat,Yuvraj Singh,1
JD Unadkat,NV Ojha,1
JD Unadkat,Bipul Sharma,1
JD Unadkat,Rashid Khan,1
JD Unadkat,B Kumar,1
MJ McClenaghan,DA Warner,2
JJ Bumrah,MC Henriques,1
SL Malinga,Yuvraj Singh,1
P Kumar,MC Henriques,1
UT Yadav,S Dhawan,1
PP Chawla,DA Warner,2
UT Yadav,Yuvraj Singh,1
NM Coulter-Nile,V Shankar,1
NM Coulter-Nile,CJ Jordan,1
TA Boult,NV Ojha,1
