Rank,Batsman,In Strength,PageRank Score,Batting Average
01,Vivrant Sharma,2.62529,0.00045,69.0
02,DP Conway,35.53571,0.00105,42.0
03,B Sai Sudharsan,38.71392,0.00115,41.36
04,KL Rahul,153.80087,0.01376,37.512
05,LMP Simmons,41.26675,0.00129,37.2069
06,J Fraser-McGurk,11.45862,0.00053,36.66667
07,RD Gaikwad,78.55478,0.00278,36.61538
08,HM Amla,23.63515,0.00082,36.0625
09,SE Marsh,89.13293,0.00361,35.55714
10,DA Warner,201.64963,0.06067,35.11765
11,CH Gayle,163.27827,0.01762,34.46207
12,MEK Hussey,69.39228,0.00241,34.08621
13,ML Hayden,39.56797,0.00116,33.54545
14,JC Buttler,112.7846,0.00593,33.48598
15,MN van Wyk,7.08973,0.00048,33.4
16,RM Patidar,29.85515,0.00093,33.29167
17,F du Plessis,148.80729,0.01236,33.12319
18,V Kohli,228.53397,0.17526,32.57724
19,Shubman Gill,104.14495,0.00488,32.16
20,CA Lynn,49.3609,0.00155,31.64286
21,JM Bairstow,58.11605,0.00187,31.15686
22,PD Salt,23.49134,0.00072,31.09524
23,H Klaasen,36.94004,0.00111,31.03125
24,YBK Jaiswal,57.1925,0.00175,30.90385
25,TM Head,28.12474,0.00093,30.88
26,S Dhawan,195.22033,0.04568,30.49099
27,Tilak Varma,42.456,0.00124,30.42105
28,AB de Villiers,173.01813,0.02286,30.12209
29,SR Tendulkar,78.85742,0.0029 ,29.92308
30,Q de Kock,95.75423,0.00418,29.25926
31,JJ Roy,22.51926,0.00079,29.2381
32,RR Pant,106.06549,0.00515,29.17699
33,KR Mayers,14.53556,0.00057,29.15385
34,PD Collingwood,6.6712,0.00047,29.0
35,WG Jacks,10.0903,0.00051,28.75
36,KP Pietersen,39.16652,0.00124,27.80556
37,DJ Harris,4.04266,0.00046,27.75
38,G Gambhir,130.46471,0.00856,27.74342
39,Salman Butt,8.17136,0.00049,27.57143
40,Nithish Kumar Reddy,11.51597,0.00055,27.54545
41,SK Raina,160.06337,0.01626,27.54229
42,Atharva Taide,9.50382,0.00053,27.44444
43,KS Williamson,72.60662,0.00255,27.33333
44,AM Rahane,141.415,0.01082,27.1462
45,SR Watson,120.06514,0.00697,27.13287
46,SV Samson,131.64407,0.00874,27.11043
47,VR Iyer,43.97363,0.00129,27.06122
48,A Symonds,35.22495,0.00108,27.05556
49,DR Smith,85.07521,0.00335,26.79775
50,SS Iyer,101.83934,0.00471,26.76068
51,Ishan Kishan,84.15752,0.00323,26.70707
52,R Dravid,76.55005,0.00282,26.5122
53,JP Duminy,79.46974,0.00297,26.35065
54,SPD Smith,89.15248,0.00366,26.26316
55,SA Yadav,122.20109,0.00718,26.23358
56,V Sehwag,88.95651,0.00361,26.23077
57,N Rana,86.17548,0.0034 ,26.09901
58,RG Sharma,188.19891,0.03602,26.0
59,DJ Malan,0.82595,0.00044,26.0
60,BB McCullum,96.39847,0.00425,25.96396
61,AC Gilchrist,71.10597,0.00249,25.8625
62,AC Voges,7.07536,0.00049,25.85714
63,ST Jayasuriya,31.20443,0.00086,25.6
64,GC Smith,29.21944,0.0009 ,25.48276
65,JH Kallis,77.88895,0.00289,25.28125
66,C Green,25.45691,0.00081,25.25
67,E Lewis,24.44976,0.00082,25.15385
68,RV Uthappa,153.31131,0.01378,25.0202
69,KC Sangakkara,59.22715,0.00197,24.80882
70,M Vijay,87.09802,0.00347,24.70755
71,AD Hales,5.61247,0.00047,24.66667
72,S Dube,53.53448,0.00172,24.62295
73,HH Gibbs,31.40534,0.00099,24.61111
74,D Padikkal,54.86388,0.00171,24.35938
75,RS Bopara,21.36209,0.00076,24.13636
76,SC Ganguly,49.46124,0.00155,24.08929
77,LS Livingstone,34.95462,0.00107,24.07692
78,RA Tripathi,74.89931,0.00272,24.04301
79,Tanush Kotian,1.08031,0.00044,24.0
80,MK Pandey,122.37161,0.00732,23.96894
81,T Stubbs,14.7895,0.0006 ,23.82353
82,AK Markram,37.14243,0.00115,23.69048
83,PP Shaw,56.07833,0.00175,23.65
84,N Pooran,60.38536,0.00194,23.58667
85,AD Russell,80.96652,0.00307,23.4717
86,DJ Mitchell,13.06823,0.00059,23.4
87,DA Miller,101.67057,0.00477,23.392
88,A Raghuvanshi,6.09487,0.00048,23.28571
89,AT Rayudu,130.58541,0.00861,23.25134
90,MJ Lumb,10.4787,0.00052,23.16667
91,TM Dilshan,40.97276,0.00124,23.06
92,OA Shah,20.83187,0.00075,23.0
93,D Brevis,8.75499,0.0005 ,23.0
94,AJ Finch,76.23024,0.00317,22.98901
95,MS Dhoni,173.52997,0.02342,22.8952
96,DPMD Jayawardene,65.25859,0.00225,22.88608
97,Abhishek Sharma,48.52744,0.0015 ,22.57377
98,Abishek Porel,13.28175,0.00058,22.5
99,RK Singh,32.91779,0.00099,22.325
100,Shashank Singh,16.99728,0.00063,22.26316
101,P Simran Singh,26.4291,0.00086,22.23529
102,Rahmanullah Gurbaz,11.38694,0.00054,22.23077
103,BJ Hodge,52.76791,0.00173,22.22222
104,R Ravindra,8.3748,0.00051,22.2
105,KS Bharat,7.95936,0.0005 ,22.11111
106,KK Nair,52.82403,0.00175,22.0
107,PC Valthaty,18.82746,0.0007 ,21.95652
108,JR Hopes,15.78213,0.00064,21.94737
109,SM Katich,9.12799,0.00051,21.90909
110,MA Agarwal,86.83518,0.00352,21.87705
111,N Wadhera,15.75984,0.0006 ,21.875
112,AP Majumdar,3.30177,0.00045,21.75
113,Yuvraj Singh,93.17581,0.00398,21.68504
114,DJ Hussey,48.66943,0.00158,21.67213
115,S Badrinath,51.43824,0.00161,21.50746
116,RR Rossouw,17.29906,0.0007 ,21.5
117,BJ Rohrer,7.48492,0.00049,21.44444
118,Kamran Akmal,4.94821,0.00046,21.33333
119,PBB Rajapaksa,10.94455,0.00055,21.30769
120,BA Stokes,33.05317,0.00106,21.25
121,M Vohra,38.69081,0.00128,21.23529
122,MP Stoinis,64.71325,0.00223,21.20455
123,UT Khawaja,4.87541,0.00047,21.16667
124,GJ Maxwell,81.91502,0.00315,21.16031
125,SA Asnodkar,15.05954,0.0006 ,21.15
126,CL White,38.10555,0.00122,21.1087
127,Ashutosh Sharma,7.40247,0.00049,21.0
128,JD Ryder,22.69091,0.00079,20.82759
129,PA Patel,91.83663,0.00392,20.78832
130,YK Pathan,109.65498,0.00564,20.7871
131,A Flintoff,2.61185,0.00045,20.66667
132,KD Karthik,149.10024,0.01256,20.52119
133,SS Tiwary,56.39205,0.00191,20.46575
134,MS Bisla,30.80168,0.00101,20.46154
135,JEC Franklin,12.94552,0.00058,20.4375
136,MM Ali,38.84255,0.00122,20.38596
