Rank,Bowler,In Strength,PageRank Score,Bowling Average
01,AC Gilchrist,9.25556,0.00054,0.0
02,DA Warner,29.17699,0.00056,1.0
03,Sachin Baby,12.67088,0.00054,2.66667
04,Atharva Taide,1.25,0.00054,4.0
05,SPD Smith,10.02657,0.00054,5.0
06,LA Carseldine,16.82193,0.00056,5.0
07,SS Mundhe,5.92067,0.00054,5.0
08,AM Rahane,7.64497,0.00054,5.0
09,SN Khan,3.53409,0.00054,6.0
10,YBK Jaiswal,0.9881,0.00054,6.0
11,T Stubbs,26.49272,0.00057,7.0
12,R Ravindra,12.19362,0.00055,7.0
13,SS Iyer,3.52299,0.00054,7.0
14,Y Gnaneswara Rao,3.75259,0.00054,7.0
15,SA Yadav,6.74585,0.00054,8.0
16,D Brevis,6.71719,0.00054,8.0
17,RS Gavaskar,6.28768,0.00054,8.0
18,Ramandeep Singh,27.9154,0.0006 ,9.66667
19,Shoaib Akhtar,24.80291,0.00059,10.0
20,Sohail Tanvir,80.21913,0.00144,10.25
21,MP Yadav,39.98821,0.0007 ,10.25
22,DAJ Bracewell,13.00107,0.00055,10.33333
23,RA Shaikh,5.71464,0.00054,11.0
24,BJ Rohrer,4.87804,0.00054,11.0
25,Umar Gul,36.71395,0.00067,11.85714
26,RA Tripathi,4.39697,0.00054,12.0
27,Gulbadin Naib,3.20204,0.00054,12.0
28,DJ Thornely,11.79568,0.00055,12.66667
29,N Wadhera,4.04811,0.00054,13.0
30,Aman Hakim Khan,3.67181,0.00054,13.0
31,C Ganapathy,4.45065,0.00054,13.0
32,CK Langeveldt,49.2065,0.00084,13.69231
33,D du Preez,15.65578,0.00056,13.75
34,M Pathirana,101.10636,0.00222,13.78947
35,NB Singh,11.42102,0.00055,14.0
36,JE Root,3.79716,0.00054,14.0
37,L Ablish,21.65914,0.00058,14.4
38,CRD Fernando,60.63967,0.00104,14.68421
39,MF Maharoof,80.01075,0.00146,14.9697
40,C Munro,5.63746,0.00054,15.0
41,M Shahrukh Khan,4.59258,0.00054,15.0
42,T Thushara,37.99152,0.00071,15.2
43,O Thomas,24.03086,0.00059,15.2
44,L Ngidi,74.63291,0.00139,15.35714
45,DE Bollinger,108.82938,0.00278,15.4186
46,MA Wood,39.74989,0.00073,15.63636
47,WPUJC Vaas,68.79446,0.00118,15.68182
48,MG Bracewell,22.92288,0.00057,15.83333
49,Monu Kumar,6.87798,0.00054,16.0
50,F du Plessis,0.82584,0.00054,16.0
51,S Dhawan,22.54787,0.0006 ,16.25
52,Kamran Khan,41.84353,0.00075,16.28571
53,BJ Hodge,59.58077,0.001  ,16.33333
54,SL Malinga,205.40201,0.16256,16.98936
55,JM Kemp,15.01972,0.00056,17.0
56,R Rampaul,55.35014,0.00097,17.58824
57,SM Boland,10.44428,0.00055,17.66667
58,RS Hangargekar,12.41432,0.00055,17.66667
59,P Prasanth,1.50738,0.00054,18.0
60,S Rana,6.50337,0.00055,18.0
61,V Kaverappa,7.09678,0.00054,18.0
62,A Badoni,15.18971,0.00055,18.0
63,MA Starc,130.92983,0.00496,18.13559
64,A Zampa,70.93639,0.00129,18.23333
65,AB McDonald,45.43976,0.00081,18.5
66,Akash Madhwal,61.84964,0.00102,18.5
67,AD Mascarenhas,49.04723,0.00083,18.57895
68,Gurkeerat Singh,22.20561,0.0006 ,18.6
69,Anand Rajan,32.79388,0.00068,18.8
70,PH Solanki,9.13694,0.00055,19.0
71,DJM Short,6.29794,0.00054,19.0
72,NJ Rimmington,4.26627,0.00054,19.0
73,KMDN Kulasekara,19.91776,0.00058,19.16667
74,DP Nannes,84.36834,0.00165,19.31579
75,Imran Tahir,110.90998,0.00303,19.34884
76,RE van der Merwe,64.16243,0.00109,19.44
77,A Singh,76.46537,0.00141,19.45161
78,R Sai Kishore,32.09734,0.00066,19.46154
79,GD Phillips,14.33762,0.00056,19.5
80,KA Maharaj,10.68071,0.00055,19.5
81,YA Abdulla,38.89152,0.00074,19.6
82,N Burger,24.55448,0.0006 ,19.71429
83,K Rabada,151.43697,0.0084 ,19.73016
84,AJ Tye,89.02687,0.00189,19.77083
