Rank,Bowler,In Strength,PageRank Score,Bowling Average
01,SL Malinga,205.40201,0.16256,16.98936
02,DJ Bravo,196.75508,0.06274,20.18357
03,HV Patel,194.24603,0.04915,19.88742
04,SP Narine,188.08806,0.03498,22.46
05,R Ashwin,178.17487,0.02101,26.15152
06,PP Chawla,176.7239,0.01928,25.00995
07,JJ Bumrah,175.50149,0.01818,19.85165
08,B Kumar,172.52261,0.01585,24.32821
09,A Mishra,171.16845,0.01498,22.21311
10,YS Chahal,171.05314,0.0149 ,21.02347
11,A Nehra,167.90014,0.01357,20.01653
12,MM Sharma,162.01692,0.01161,21.76871
13,UT Yadav,154.69605,0.00932,25.67485
14,Sandeep Sharma,152.72261,0.00874,23.56209
15,Rashid Khan,152.05704,0.00861,20.52229
16,K Rabada,151.43697,0.0084 ,19.73016
17,RA Jadeja,147.20632,0.00756,28.26627
18,Mohammed Shami,144.89892,0.00712,22.81944
19,Z Khan,144.62113,0.007  ,22.61345
20,AD Russell,141.39076,0.00643,20.488
21,TA Boult,141.14981,0.0064 ,24.50781
22,Harbhajan Singh,136.10635,0.00568,24.39752
23,DW Steyn,135.86694,0.00562,22.91429
24,SR Watson,135.70775,0.0056 ,24.02804
25,CH Morris,131.32768,0.00504,20.74766
26,MA Starc,130.92983,0.00496,18.13559
27,R Vinay Kumar,130.04554,0.00488,23.0315
28,JD Unadkat,129.13351,0.00481,28.61468
29,KV Sharma,121.46856,0.00397,25.14634
30,RP Singh,120.87953,0.00387,22.36
31,I Sharma,119.55872,0.00381,31.45833
32,AR Patel,118.36396,0.00368,28.29771
33,AB Dinda,117.29782,0.00355,24.23171
34,DS Kulkarni,114.32951,0.0033 ,25.97802
35,Avesh Khan,114.84297,0.0033 ,23.5679
36,L Balaji,113.41281,0.00319,22.96471
37,MM Patel,112.04376,0.00307,20.36585
38,Imran Tahir,110.90998,0.00303,19.34884
39,PP Ojha,111.45809,0.00302,22.83838
40,IK Pathan,111.06661,0.003  ,25.94949
41,Mustafizur Rahman,110.0421,0.00294,24.32857
42,R Bhatia,109.98512,0.00293,24.21951
43,Kuldeep Yadav,109.31399,0.00287,25.98889
44,JA Morkel,109.84465,0.00287,23.5
45,P Kumar,108.31639,0.00287,30.45098
46,KA Pollard,107.85445,0.00284,25.64198
47,Mohammed Siraj,108.61798,0.00282,27.875
48,DE Bollinger,108.82938,0.00278,15.4186
49,Arshdeep Singh,108.3645,0.00278,23.30952
50,SN Thakur,107.51075,0.00276,27.47
51,CV Varun,106.44298,0.00269,23.07059
52,Shakib Al Hasan,104.42951,0.00263,25.38028
53,M Morkel,104.56504,0.00259,22.78409
54,JP Faulkner,104.05215,0.00257,22.94737
55,KK Ahmed,103.73679,0.00252,23.17949
56,LH Ferguson,101.79161,0.00244,24.14035
57,JO Holder,100.63711,0.0024 ,23.77966
58,T Natarajan,98.6739,0.00228,25.0
59,HH Pandya,97.7588,0.00225,29.75714
60,M Pathirana,101.10636,0.00222,13.78947
61,NM Coulter-Nile,96.17576,0.00219,20.44231
62,Iqbal Abdulla,96.19384,0.00217,24.06667
63,WD Parnell,95.93047,0.00216,22.025
64,KH Pandya,95.63046,0.00215,31.5375
65,S Aravind,94.92301,0.00211,20.97917
66,M Muralitharan,95.00714,0.00207,24.50746
67,MJ McClenaghan,93.48009,0.00205,23.01333
68,Ravi Bishnoi,93.65095,0.00204,26.23529
69,A Nortje,93.6308,0.00202,24.56452
70,RD Chahar,91.75813,0.00198,27.65789
71,TG Southee,90.6885,0.00196,29.50877
72,MR Marsh,91.45803,0.00195,20.59459
73,PJ Cummins,89.97764,0.00191,28.06061
74,AJ Tye,89.02687,0.00189,19.77083
75,MM Ali,90.56728,0.00189,22.025
76,MG Johnson,89.19122,0.00188,24.74242
77,SK Trivedi,89.29742,0.00182,25.20548
78,S Kaul,83.96609,0.00171,27.07937
79,JC Archer,84.00892,0.00169,22.95918
80,JH Kallis,84.46462,0.00168,30.02703
81,TU Deshpande,84.65937,0.00168,25.73913
82,DT Christian,82.72206,0.00167,28.8
83,DL Chahar,83.69519,0.00167,27.13924
84,PWH de Silva,84.43978,0.00166,20.58333
85,DP Nannes,84.36834,0.00165,19.31579
86,MC Henriques,81.82786,0.00164,27.30435
87,SM Curran,82.04021,0.00163,29.79032
88,PJ Sangwan,80.36784,0.00158,26.86364
89,A Kumble,82.13835,0.00155,20.95918
90,RJ Harris,80.35103,0.00155,21.23404
